"'ave a Gander", "have a look"
"Aerial ping pong", "aussie rules football"
"Aggro", "upset about something"
"Amber fluid", "beer"
"Ankle biter", "young child"
"Arse over tit", "fall over"
"Arvo", "afternoon"
"Bagged someone", "critisise someone"
"Balls up", "terrible mistake"
"Barbie or B.B.Q", "barbecue cooking"
"Battler", "someone who works hard"
"Beanie", "ski hat"
"Beauty", "something has gone really well"
"Bewdy", "good or the best"
"Beyond the Black stump", "far from the city"
"Big note", "make yourself out to be important"
"Billabong", "a waterhole"
"Billy cart", "a cart built by a child"
"Billy", "container used to make a cup of tea"
"Bingle", "car accident"
"Biscuit", "cookie"
"Blimey", "surprised by something"
"Bloke", "australian male"
"Bloods worth Bottling!", "someone has done you a good deed"
"Bloody oath", "agree with someone"
"Blotto", "someone being drunk"
"Blowies", "blow flies"
"Blowing your dough", "spending all your money"
"Bludger", "someone who is lazy"
"Blue ass fly", "someone doing something very fast"
"Blue Heeler", "police"
"Bluey", "a nickname for someone with red hair"
"Bo-peep", "have a look at something"
"Bob's your uncle", "something that has worked out well"
"Bombed out", "unsuccessful or drunk"
"Bonzer", "excellent"
"Boomer", "kangaroo"
"Booze bus", "van used by police to random test motorists for alcohol"
"Booze", "alcohol"
"Bottler of an idea", "great idea"
"Brekky", "breakfast"
"Brown-eye", "moon someone"
"Buckley's chance", "not a chance"
"Bugger", "rogue"
"Builders bum", "top of the buttocks exposed above pants"
"Bull dust", "a lie"
"Bunyip", "mythical outback creature"
"Bush telegraph", "the town gossip network"
"Bushed", "lost or tired"
"Cactus", "somethings had it"
"Carked it", "someones died"
"Cheeky", "someone who teases in a fun way"
"Cheesed off", "fed up with something"
"Chew the fat", "have a good talk together"
"Chewy", "chewing gum"
"Chinwag", "having a conversation"
"Chocker", "something is full"
"Chook", "a chicken, rooster or hen"
"Chunder", "vomit"
"Clod hoppers", "your feet"
"Cobber", "a friend"
"Cobberdobber", "someone who dobs in a mate"
"Cockie", "farmer"
"Coldie", "a cold beer"
"Cooee", "call for greeting someone at a distance in the bush"
"Corroboree", "aboriginal festival dance"
"Cot case", "a drunk or exhausted person"
"Couch potato", "a person who spends all their time watching television"
"Cozzie", "swimming costume"
"Crapper", "toilet"
"Crook", "feeling ill or a criminal"
"Cuppa", "have cup of tea or coffee"
"Dacks", "trousers or shorts"
"Damper", "flour and water bread mix cooked in the coals of a camp fire"
"Dead marine", "empty beer bottle"
"Deadset", "without a doubt"
"Digger", "australian soldier"
"Dijeridu", "aboriginal wind musical instrument"
"Dilly Dally", "someone that taking there time to go someone where"
"Dinki-di", "something good from a australia or originating from downunder"
"Do the lolly", "to get very angry"
"Dodgy", "something suspicious and underhanded is going on"
"Donk", "engine in a car, boat or motor bike"
"Drongo", "someone who is stupid"
"Dropped your bundle", "to lose control of the situation"
"Dry as a dead dingo's donger", "drought or very dry climate"
"Duck's Guts", "something that is interesting"
"Dunny", "toilet"
"Earbashing", "someone talking to you for a long time"
"Eat a horse, and chase the jockey", "you are very very hungry"
"Esky", "portable ice box"
"Fair crack of the whip!", "give me a fair go"
"Fair dinkum", "honest, genuine"
"Fair enough", "agree, acceptable"
"Fat chance", "little to no chance of something happening"
"Fella", "person or a male"
"Fibber", "someone who tell lies"
"Five finger discount", "shoplifting"
"Flog", "to sell something"
"Footy", "ozzie rules football"
"Fossick", "search for something"
"Fruit cake", "mentally unstable"
"Full as a boot", "drunk"
"Full as a goog", "either full of food or alcohol"
"Full of it", "someone telling a load of garbage"
"G 'day", "a freindly welcome"
"Garbo", "garbage collector"
"Get nicked", "to get caught"
"Go off like a bucket of prawns in the hot sun", "to create a commotion"
"Goer", "something or someone that works well"
"Gone round the bend", "gone crazy or mental"
"Gone to the dogs", "something or someplace that is no longer any good"
"Good on ya Mate!", "well done"
"Grog", "alcohol"
"Grot", "person who is very dirty or untidy"
"Grouse", "something is great,terrific"
"Gutful", "more than enough"
"Hair of the dog", "have another drink of alcohol to try and get rid of a hangover"
"Hang on a tick", "wait for minute"
"Happy as a pig in mud", "very happy"
"Having a Blue", "having a fight or argument"
"Hit the deck", "to duck or put ones head down"
"Holy-dooly", "an expression of surprise"
"Hoo-roo", "saying goodbye to someone"
"Hoon", "a show-off with limited intelligence"
"Howzat?", "asking someone how something is"
"In the Nick", "naked"
"In your dreams", "telling someone that it isn't going to happen"
"Jack-in-the-box", "someone who can not sit still"
"Jarmies", "pyjamas"
"Jigged", "its broken or no long useful"
"Jigging", "truanting from school"
"Jocks", "male underpants"
"Jumbuck", "sheep"
"Just down the road", "could be just down the road or it could be 20 km's away"
"Kick in", "to help out with money"
"Kick the bucket", "to die"
"Kip", "short rest or sleep"
"Kiwi", "someone who lives in new zealand"
"Knackers", "male testicles"
"Knock-off", "to steal"
"Knock", "to critisise"
"Knocker", "someone who makes derogatory remarks"
"Lav or Lavvy", "outdoor tiolet"
"Like a hornet in a bottle", "furious"
"Lingo", "language"
"Lippie", "lipstick"
"Liquid amber", "beer"
"Loaded", "extremely wealthy"
"Lolly", "money"
"M'oath", "on my oath"
"Macca's", "mcdonald's"
"Mad as a cut snake", "crazy"
"Manchester", "household linen"
"Mate", "friend"
"Matilda", "a blanket roll carried by a swagman"
"Middie", "285 ml beer glass"
"Missus", "your wife"
"Mozzie", "mosquito"
"Mucking around", "playing around stupidly"
"Mug", "you fool"
"Mulga", "rough country"
"Nackered", "absolutely exhausted or very tied"
"Never Never", "mythical place in the outback"
"Nick off", "go away"
"Nick", "steal something"
"Nifty", "stylish"
"No-hoper", "an incompetent person"
"Noggin'", "head or brains"
"Not the full Quid", "short on brains"
"Nulla-nulla", "wooden club used by aborigines"
"Ocker", "stereotype australian that likes beer, sport women and uncultured"
"Off the beaten Track", "seldom used roads"
"Oldies", "parents"
"Out house", "toilet"
"Outback", "remote part of australia"
