"Holland hosted the Olympics in which year", "1928"
"how many lanes does an olympic swimming pool have", "eight"
"In ancient Greece, where were the original Olympics held", "Olympia"
"Malcolm Cooper is an Olympic gold medal winner in which sport", "shooting"
"Number of medals awarded Norway at the 1968 winter olympics", "13"
"Number of medals awarded the USSR at the 1972 summer olympics", "99"
"Runner paavo nurmi hails from what country", "finland"
"the mascot for the 1980 moscow olympic games was a friendly bear named", "misha"
"The Olympic motto 'citius, altius, fortius' means what", "Faster, higher, stronger"
"What city hosted the first winter olympics in asia", "sapporo, japan"
"What distance is the Olympic steeplechase contested over (in metres)", "three thousand|3000"
"What is the Olympic motto in the original Latin", "Citius, altius, fortius"
"what is the only host country not to win gold at its own summer olympics", "canada"
"What speed skater won 5 gold medals at the 1980 winter olympics", "heiden"
"Where were the 1956 Summer Olympics held", "Melbourne, Australia"
"Where were the 1960 summer Olympics held", "Rome, Italy"
"Who did Zola Budd trip in the 1984 Los Angeles Olympics", "Mary Decker"
"Who tripped Mary Decker in the 1984 Los Angeles Olympics", "Zola Budd"
"How many BRONZE medals were won by Bulgaria", "17"
"How many BRONZE medals were won by Cuba", "5"
"How many BRONZE medals were won by Czechoslovakia", "9"
"How many BRONZE medals were won by East Germany", "42"
"How many BRONZE medals were won by Great Britain", "9"
"How many BRONZE medals were won by Hungary", "15"
"How many BRONZE medals were won by Monaco", "2"
"How many BRONZE medals were won by Poland", "15"
"How many BRONZE medals were won by Romania", "13"
"How many BRONZE medals were won by Soviet Union", "46"
"How many BRONZE medals were won by Tanzania", "0"
"How many BRONZE medals were won by Zimbabwe", "0"
"How many GOLD medals were won by Bulgaria", "8"
"How many GOLD medals were won by East Germany", "47"
"How many GOLD medals were won by Finland", "3"
"How many GOLD medals were won by Soviet Union", "80"
"How many Gold, Silver & Bronze medals (TOTAL) were won by Australia", "9"
"How many Gold, Silver & Bronze medals (TOTAL) were won by Austria", "4"
"How many Gold, Silver & Bronze medals (TOTAL) were won by Belgium", "1"
"How many Gold, Silver & Bronze medals (TOTAL) were won by Brazil", "4"
"How many Gold, Silver & Bronze medals (TOTAL) were won by Bulgaria", "41"
"How many Gold, Silver & Bronze medals (TOTAL) were won by Cuba", "20"
"How many Gold, Silver & Bronze medals (TOTAL) were won by Czechoslovakia", "14"
"How many Gold, Silver & Bronze medals (TOTAL) were won by Denmark", "5"
