"Born 1951 Director father. Was a succesful model before returning to film. Won Supporting Actress Oscar in Prizzi's Honor", "Anjelica Huston"
"Born Apr 24, 1942, She starred in the movie A Star Is Born - 1976", "barbra streisand"
"Born Apr 24, 1942, She starred in the movie All Night Long - 1981", "barbra streisand"
"Born Apr 24, 1942, She starred in the movie For Pete's Sake - 1974", "barbra streisand"
"Born Apr 24, 1942, She starred in the movie Funny Girl - 1968", "barbra streisand"
"Born Apr 24, 1942, She starred in the movie Funny Lady - 1975", "barbra streisand"
"Born Apr 24, 1942, She starred in the movie Hello, Dolly! - 1969", "barbra streisand"
"Born Apr 24, 1942, She starred in the movie Nuts - 1987", "barbra streisand"
"Born Apr 24, 1942, She starred in the movie On a Clear Day You Can See Forever - 1970", "barbra streisand"
"Born Apr 24, 1942, She starred in the movie The Main Event - 1979", "barbra streisand"
"Born Apr 24, 1942, She starred in the movie The Mirror Has Two Faces - 1996", "barbra streisand"
"Born Apr 24, 1942, She starred in the movie The Owl and the Pussycat - 1970", "barbra streisand"
"Born Apr 24, 1942, She starred in the movie The Prince of Tides - 1991", "barbra streisand"
"Born Apr 24, 1942, She starred in the movie The Way We Were - 1973", "barbra streisand"
"Born Apr 24, 1942, She starred in the movie Up the Sandbox - 1972", "barbra streisand"
"Born Apr 24, 1942, She starred in the movie What's Up Doc? - 1972", "barbra streisand"
"Born Apr 24, 1942, She starred in the movie Yentl - 1983", "barbra streisand"
"Born Apr 28, 1941, She starred in the movie Any Given Sunday - 1999", "ann-margret"
"Born Apr 28, 1941, She starred in the movie Bus Riley's Back in Town - 1965", "ann-margret"
"Born Apr 28, 1941, She starred in the movie Bye Bye Birdie - 1963", "ann-margret"
"Born Apr 28, 1941, She starred in the movie Carnal Knowledge - 1971", "ann-margret"
"Born Apr 28, 1941, She starred in the movie Grumpier Old Men - 1995", "ann-margret"
"Born Apr 28, 1941, She starred in the movie Grumpy Old Men - 1993", "ann-margret"
"Born Apr 28, 1941, She starred in the movie Kitten With a Whip - 1964", "ann-margret"
"Born Apr 28, 1941, She starred in the movie Magic - 1978", "ann-margret"
