"____ bacon", "kevin"
"____ Borgnine", "Ernest"
"____ douglas", "kirk"
"____ douglas", "michael"
"____ ford", "glenn"
"____ ford", "harrison"
"____ Hackman", "Gene"
"____ Nimoy", "Leonard"
"____ reeves", "christopher"
"____ reeves", "george"
"____ reeves", "keannu"
"____ Savalas", "Telly"
"____ york", "michael"
"...who played ashley wilkes", "leslie howard"
"...who played bob woodward", "robert redford"
"...who played charles foster kane", "orson welles"
"...who played Dirty Harry", "clint eastwood"
"...who played edward scissorhands", "johnny depp"
"...who played Ferris Bueller", "matthew broderick"
"...who played Mozart in "Amadeus"", "tom hulce"
"...who played Obi Wan Kenobi", "alec guiness"
"...who played the nutty professor", "jerry lewis"
"...who played Willy Wonka", "gene wilder"
"40s star married to both Charlie Chaplin & Burgess Meredith", "paulette goddard"
"Actress in Psycho and Touch of Evil", "janet leigh"
"Actress who died in a road accident on US 90 outside of New Orleans", "jayne mansfield"
"Alan Alda,Loretta Swit", "mash"
"Alice Cramden in the Honeymooners", "audrey meadows"
"Auntie Mame & Gypsy", "rosalind russell"
"Babe Ruth in The Babe Ruth Story?", "william bendix"
"Barfly ____> Wanda Wilcox", "faye dunaway"
"Batman ____> Vicki Vale", "kim basinger"
"Birthplace of Sonny Bono", "detroit"
"Charles Grodin, Robert DeNiro", "midnight run"
"Chattahoochie; Romeo Is Bleeding; Rosencrantz And Guildenstern Are Dead", "gary oldman"
"Chris Noth, Michael Moriarty, Jerry Orbach", "law and order"
"Dave Thomas, Brett Butler", "grace under fire"
"David Carruso, Dennis Franz", "nypd blue"
"David Caruso, Stacy Keach", "mission of the shark"
"Dennis Quaid, Ellen Barkin", "the big easy"
"Dennis Quaid, Louis Gossett Jr", "enemy mine"
"Don Johnson, Phillip Michael Thomas", "miami vice"
"Early SNL regular. Wife of Gene Wilder", "gilda radner"
"Emilio Estevez's father", "martin sheen"
"Emma Peel on The Avengers", "diana rigg"
"Ethan Phillips, Tim Russ, Robert McNeill, Garrett Wang", "star trek voyager"
"famous as Superman", "christopher reeve"
"famous for Inspector Clouseau", "peter sellers"
"Female star of 10", "Bo Derek"
"Female star of 9 1/2 weeks", "Kim Basinger"
"Female star of Casablanca", "Ingrid Bergman"
"Female star of pretty Woman", "Julia Roberts"
"Female star of The English Patient", "Kristin Scott Thomas"
"Female star of The Mask", "Cameron Diaz"
"Female star of To have or have not", "Lauren Bacall"
"First man to play Chester A. Riley on TV version of "The Life of Riley"", "jackie gleason"
"French film star of Danton and The Return of Martin Guerre", "Gerald Depardieu"
"Gary Oldman, Sissy Spacek, Tommy Lee Jones", "jfk"
"Greg Evigan, William Shatner", "tekwar"
"He starred in Lassie Come Home and Planet of the Apes", "roddy mcdowall"
"He starred in The Silence of the Lambs and Howard's End", "anthony hopkins"
"He used to be Michael Douglas, but desired a more unique stage name", "michael keaton"
"He was born Allen Konigsberg", "woody allen"
"He was born Krishna Banji", "ben kingsley"
"He was in Brideshead Revisited and Reversal of Fortune", "jeremy irons"
"He was in Silkwood and Backdraft", "kurt russell"
"He won an Oscar for Dr. Jekyll and Mr. Hyde", "frederick march"
"He won Oscars for Spartacus and Topkapi", "peter ustinov"
"Helen Hunt, Paul Reiser", "mad about you"
"Hot Spot; Candy Man; Shadow Dancing", "virginia madsen"
"In the movie Romero, who played the main character of Father Romero", "Raul Julia "
"Italian actress who won a 1961 Oscar for Two Women", "sophia loren"
"Jamie Lee Curtis, Kevin Kline, John Cleese", "a fish called wanda"
"Janine Turner, Rob Morrow", "northern exposure"
"Jeff Daniels, Julian Sands, John Goodman", "arachnaphobia"
"Jeff Goldblum, Emma Thompson", "the tall guy"
