"2002, name the film", "Attack of the Clones"
"character played by Hayden Christensen", "Anakin Skywalker"
"character played by Natalie Portman", "Queen Amidala"
"Characters", "Luke Skywalker", "Princess Leia", "Han Solo", "Chewbacca", "R2D2", "Darth Vader", "The Emperor", "Ewoks", "Yoda", "Ben Kenobi"
"darth ____", "vader"
"He played Han Solo in the 'Star Wars' series", "harrison ford"
"He was the villain in "Star Wars"", "Darth Vader"
"Name of the creature Luke fought in Jabba the Hut's place", "rancor"
"name the underwater gungan city", "otoh gunga"
"obi wan's first words to luke after being killed by darth vader", "run luke run"
"on which moon did the ewoks live", "endor"
"Original owner of C3PO and R2D2", "biggs"
"the white creature which captured luke skywalker on the planet hoth", "wampa ice creature"
"This was the sequel to "Star Wars"", "The Empire Strikes Back"
"This was the sequel to "The Empire Strikes Back"", "Return of the Jedi"
"what actor supplied the voice for darth vader", "james earl jones"
"what is the name of han solo's ship", "millennium falcon"
"what is the name of the emperor", "palpatine"
"what is the name of the fake rebel base which princess leia gives", "dantooine"
"What is the name of the planet that luke travels to, seeking yoda", "dagobah"
"what kind of a droid is c-3po", "protocol droid"
"what kind of droid is r2-d2", "astromech droid"
"what species is watto", "toydarian"
"what was han solo's fate at the end of "the empire strikes back", "frozen"
"What was Luke Skywalker's nickname on Tatooine", "wormie"
"what was the name of the planet destroyed by the death star", "alderaan"
"which character does denis lawson play", "wedge antilles"
"which planet does luke skywalker go to for his training with yoda", "dagobah"
"Who eventually delivered Han Solo to Jabba the Hutt", "boba fett"
"who is anakin skywalker's mother", "shmi skywalker"
"Who is c3 po's sidekick", "r2d2"
"Who played Admiral Ackbar", "tim rose"
"Who played princess leia", "carrie fisher"
"who played Queen Amidala", "Natalie Portman"
"Who trained Darth Vader as a jedi", "obi wan kenobi"
"Who trained Obi Wan Kenobi as a Jedi", "qui-gon jinn"
"Who was C3P0's sidekick", "R2D2"
"Who was C3PO's sidekick in "Star Wars"", "r2d2"
"Who was Luke Skywalker's trusty astromech droid", "r2d2"
"Who was the villain in 'star wars'", "darth vader"
"who were the imperial officers mentioned in star wars, other than darth vader", "tarkin and motti"
"who were the other two imperial officers mentioned in star wars?", "Tarkin and Motti"
