"Afghanistan", "kabul"
"Albania", "tirana"
"Algeria", "algiers"
"American Samoa", "pago pago"
"Andorra", "andorra la vella"
"Angola", "luanda"
"Anguilla", "the valley"
"Antigua and Barbuda", "saint john's"
"Argentina", "buenos aires"
"Armenia", "yerevan"
"Aruba", "oranjestad"
"Austria", "vienna"
"Azerbaijan", "baku"
"Bahamas, The", "nassau"
"Bahrain", "manama"
"Bangladesh", "dhaka"
"Barbados", "bridgetown"
"Belgium", "brussels"
"Belize", "belmopan"
"Benin", "porto-novo"
"Bermuda", "hamilton"
"Bhutan", "thimphu"
"Bolivia", "la paz"
"Bosnia and Herzegovina", "sarajevo"
"Botswana", "gaborone"
"Brazil", "brasilia"
"British Virgin Islands", "road town"
"Brunei", "bandar seri begawan"
"Bulgaria", "sofia"
"Burkina Faso", "ouagadougou"
"Burundi", "bujumbura"
"Cambodia", "phnom penh"
"Cameroon", "yaounde"
"Canada", "ottawa"
"Cape Verde", "praia"
"Cayman Islands", "george town"
"Central African Republic", "bangui"
"Chad", "n'djamena"
"Chile", "santiago"
"China", "beijing"
"Christmas Island", "the settlement"
"Cocos Islands", "west island"
"Colombia", "bogota"
"Comoros", "moroni"
"Congo ,Republic of the", "brazzaville"
"Congo, Dem. Rep. of the", "kinshasa"
"Cook Islands", "avarua"
"Cote d'Ivoire", "yamoussoukro"
"Croatia", "zagreb"
"Cuba", "havana"
"Cyprus", "nicosia"
"Czech Republic", "prague"
"Denmark", "copenhagen"
"Djibouti", "djibouti"
"Dominica", "roseau"
"Dominican Republic", "santo domingo"
"Ecuador", "quito"
"Egypt", "cairo"
"El Salvador", "san salvador"
"Equatorial Guinea", "malabo"
"Eritrea", "asmara"
"Estonia", "tallinn"
"Ethiopia", "addis ababa"
"Falkland Islands (Islas Malvinas)", "stanley"
"Faroe Islands", "torshavn"
"Fiji", "suva"
"Finland", "helsinki"
"France", "paris"
"French Guiana", "cayenne"
"French Polynesia", "papeete"
"Gabon", "libreville"
"Gambia ,The", "banjul"
"Georgia", "t'bilisi"
"Germany", "berlin"
"Ghana", "accra"
"Gibraltar", "gibraltar"
"Greece", "athens"
"Greenland", "nuuk"
"Grenada", "saint george's"
"Guadeloupe", "basse-terre"
"Guam", "hagatna"
"Guatemala", "guatemala"
"Guernsey", "saint peter port"
"Guinea-Bissau", "bissau"
"Guinea", "conakry"
"Guyana", "georgetown"
"Haiti", "port-au-prince"
"Holy See (Vatican City)", "vatican city"
"Honduras", "tegucigalpa"
"Hong Kong SAR", "victoria"
"Hungary", "budapest"
"Iceland", "reykjavik"
"Indonesia", "jakarta"
"Iran", "tehran"
"Iraq", "baghdad"
"Ireland", "dublin"
"Israel", "jerusalem"
"Italy", "rome"
"Jamaica", "kingston"
"Japan", "tokyo"
"Jersey", "saint helier"
"Jordan", "amman"
"Kazakhstan", "astana"
"Kenya", "nairobi"
"Kiribati", "tarawa"
"Korea North", "p'yongyang"
"Korea South", "seoul"
"Kuwait", "kuwait"
"Kyrgyzstan", "bishkek"
"Laos", "vientiane"
"Latvia", "riga"
"Lebanon", "beirut"
"Lesotho", "maseru"
"Liberia", "monrovia"
"Libya", "tripoli"
"Liechtenstein", "vaduz"
"Lithuania", "vilnius"
"Luxembourg", "luxembourg"
"Macau SAR", "macau"
"Macedonia", "skopje"
"Madagascar", "antananarivo"
