"A/S/L?", "age/sex/location?"
"AA", "alcholics anonymous"
"ABM", "anti-ballistic missile"
"ACK", "acknowledgement"
"ACRONYM", "abbreviated coded rendition of name yielding meaning"
"AFAIK", "as far as i know"
"AFK", "away from the keyboard"
"AI", "artificial intelligence"
"AKA", "also known as"
"AOL", "america on line"
"API", "application program interface"
"ASAP", "as soon as possible"
"ASCII", "american standard code for information interchange"
"ATM", "at the moment"
"ATTN", "attention"
"AU", "australia"
"AVG", "average"
"B/C", "because"
"B4", "before"
"BAFTA", "British Academy of Film & Televison"
"BBIAB", "be back in a bit"
"BBL", "be back later"
"better known as MSG, it is often used to flavor frozen foods", "monosodium glutamate"
"BF", "boy friend"
"BRO", "brother"
"BSOD", "blue screen of death"
"BST", "british summer time"
"BYOB", "bring your own booze"
"C/O", "care of"
"C&P", "copy & paste"
"commonly called DNA, what is its full name", "Deoxyribonucleic acid"
"commonly called RNA, what is its full name", "Ribonucleic Acid"
"DNS", "domain name system"
"DOA", "dead on arrival"
"DOB", "date of birth"
"DOS", "disk operating system"
"Dr", "doctor"
"EEG stands for ____", "electroencephalogram"
"energy-carrying molecule, usually abbreviated ATP", "Adenosine Triphosphate"
"ETA", "estimated time of arrival"
"FAQ", "frequently asked question"
"FLOTUS", "first lady of the united states"
"FTL", "faster than light"
"FTP", "file transfer protocol"
"G2G", "got to go"
"GA", "go ahead"
"GF", "girlfriend"
"GIF", "graphical interchange format"
"GIGO", "garbage in garbage out"
"GJ", "good job"
"GL", "good luck"
"GTG", "got to go"
"H8", "hate"
"HHGTTG", "hitch hiker's guide to the galaxy"
"ID", "identification"
"IMHO", "in my humble opinion"
"In the computing acronym BASIC what does the B stand for", "beginners"
"In the military world, EGADS is an acronym for", "electronic ground automatic destruct system"
"Inc", "incorporated"
"IOU", "i owe you"
"IOW", "in other words"
"IP", "internet protocol"
"IRC", "internet relay chat"
"IRL", "in real life"
"ISDN", "integrated services digital network"
"ISP", "internet service provider"
"ISTR", "i seem to remember"
"IT", "information technology"
"JPEG", "joint photographic experts group"
"Jr", "junior"
"JVC", "japan victor company"
"KISS", "keep it simple stupid"
"LAN", "local area network"
"LoTR", "lord of the rings"
"M8", "mate"
"MBR", "master boot record"
"Microwave amplification by stimulated emission of radiation, a device that amplifies or generates microwaves or radio waves", "maser"
"MICV", "Mechanized infantry combat vehicle"
"MIME", "multi-purpose internet mail extensions"
"MMX", "multi-media extensions"
"MOTD", "message of the day"
"MPH", "miles per hour"
"MUD", "multi-user dungeon/domain"
"NE1", "anyone"
"OD", "overdose"
"OMG", "oh my god"
"On irc, what does a/s/l mean", "age/sex/location"
"PDA", "public display of affection"
"PDN", "public data network"
"PLS", "please"
"PLZ", "please"
"POTUS", "president of the united states"
"POV", "point of view"
"PPL", "people"
"PPP", "point-to-point protocol"
"PS", "post script"
"QUANTAS, what does it stand for", "queensland and northern territory aerial services"
"Quasi-stellar radio source, any of the blue, starlike objects that are strong radio emitters and the spectra of what exhibit a strong red shift", "quasar"
"ROFL", "rolling on floor laughing"
"ROFLMHO", "rolling on floor laughing my head off"
"ROFLOL", "rolling on floor laughing out loud"
"ROFLUTS", "rolling on floor laughing unable to speak"
"ROFLWPIMP", "rolling on floor laughing whilst peeing in my pants"
"ROM", "Read only memory"
"ROTBA", "reality on the blink again"
"ROTF", "rolling on the floor"
"ROTFL", "rolling on the floor laughing"
"ROTFLAS", "rolling on the floor laughing and snorting"
"ROTFLBTC", "rolling on the floor laughing biting the carpet"
"RPG", "role playing game"
"SLIP", "serial line interface protocol"
"SMTP", "simple mail transfer protocol"
"SOP", "standard operating procedure"
"SRY", "sorry"
"ST-DS9", "star trek deep space 9"
"ST-TNG", "star trek the next generation"
"ST-TOS", "star trek the original series"
"ST-VOY", "star trek voyager"
"SYSOP", "system operator"
"TBC", "to be continued"
"TGIF", "thank god it's friday"
"TN", "telnet"
"TNX", "thanks"
"TPTB", "the powers that be"
"TTYL", "talk to you later"
"URL", "uniform resource locator"
"used for direct data transfers between disk & ram", "dma"
"Vsop stands for", "very special old pale"
"W/", "with"
"W/O", "with out"
"W8", "wait"
"W8ING", "waiting"
"WAN", "wide area network"
"WB", "welcome back"
"What degree do the intials 'DDS' stand for", "Doctor of Dental Surgery"
"What do the initials 'VCP' stand for", "Video Cassette Player"
"What do the initials 'VCR' stand for", "Video Cassette Recorder"
"What does 'A&W' (of root beer fame) stand for", "Allen & Wright"
"What does 'AOL' stand for", "America Online"
"What does GNP stand for", "Gross National Product"
"What does N.A.S.A stand for", "National Aeronautics and Space Administration"
"What does S H A P E stand for", "Supreme headquarters,allied powers,europe"
"What does S.O.S. stand for", "Save Our Souls"
"What does the abbreviation LAPD stand for", "los angeles police department"
"What does the acronym 'scuba' mean", "Self Contained Underwater Breathing Apparatus"
"what does the acronym BAR stand for", "browning automatic rifle"
"What is the AALS?", "association of american law schools"
"What's the oed", "oxford english dictionary"
"WTH", "what the hell"
"WWW", "world wide web"
"Y2K", "year 2000"
"You've heard Of NATO, But What Does SEATO stand for", "South East Asia Treaty Organisation"
"AA", "alcoholics anonymous"
"AI", "artificial intelligence"
"AKA", "also known as"
"AMOCO", "american oil company"
"ASAP", "as soon as possible"
"ASCII", "american standard code for information exchange"
"AT&T", "american telephone and telegraph"
"ATM", "automated teller machine"
"AWOL", "absent without leave"
"BB", "ball bearing"
"BBC", "british broadcasting corporation"
"BLT", "bacon, lettuce, tomato"
"BYOB", "bring your own beer"
"CAT", "computerized axial tomography"
"CB", "citizen's band"
"CBS", "columbia broadcasting system"
"COBOL", "common business oriented language"
"CONUS", "continental united states"
"CPR", "cardiopulmonary resuscitation"
"DEW", "distant early warning"
"DOA", "dead on arrival"
"ER", "emergency room"
"ESPN", "entertainment and sports programming network"
"ETA", "estimated time of arrival"
"FAQ", "frequently asked questions"
"FORTRAN", "formula translation"
"GAF", "general aniline and film"
"GATT", "general agreement on tariffs and trade"
"GIGO", "garbage in, garbage out"
"GPS", "global positioning system"
"HDL", "high density lipoprotein"
"HDPE", "high density polyethylene"
"HIV", "human immunodefficiency virus"
"HUMVEE", "high mobility multi purpose wheeled vehicle"
"ICBM", "inter continental ballistics missile"
"In 'laser' what does the L stand for", "light"
"In BASIC for what does the letter B stand", "beginners'"
"In LASER what does the 'E' represent", "emission"
"In MASER what does the 'M' represent", "microwave"
"In SHAPE for what does the letter S stand", "supreme"
"In the abbreviation P & O, what does the O stand for", "oriental"
"In the abbreviation VDU what does the V stand for", "visual"
"IRA", "irish republican army"
"JPL", "jet propulsion laboratory"
"JVC", "japan victor company"
"KIA", "killed in action"
"LASER", "light amplification by stimulated emission of radiation"
"LCD", "liquid crystal display"
"LDL", "low density lipoprotein"
"LDPE", "low density polyethylene"
"LED", "light emitting diode"
"M&M", "mars & murray"
"MASER", "microwave amplification by the stimulated emission of radiation"
"MASH", "mobile army surgical hospital"
"MCI", "microwave communications of america"
"MG", "morris & garash"
"MIA", "missing in action"
"MIDI", "musical instrument digital interface"
"MIT", "massachusetts institute of technology"
"MO", "modus operandi"
"MP", "military police"
"MRI", "magnetic resonance imaging"
"NATO", "north atlantic treaty organization"
"NBA", "national basketball association"
"NBC", "national broadcasting company"
"NEC", "nippon electronics corporation"
"NFL", "national football league"
"NHL", "national hockey league"
"NORAD", "north american air defense command"
"NOW", "national organization of women"
"NSA", "national security administration"
"OCR", "optical character recognition"
"OSHA", "occupational safety and health administration"
"Parsec", "parallax second"
"PBS", "public broadcasting system"
"PDQ", "pretty damned quick"
"POTUS", "president of the united states"
"POW", "prisoner of war"
"PPP", "point to point protocol"
"PSI", "pounds per square inch"
"PT", "patrol torpedo"
"PVC", "polyvinyl chloride"
"RCA", "radio corporation of america"
"RDA", "recommended daily allowance"
"RNA", "ribonucleic acid"
"ROM", "read only memory"
"ROTC", "reserve officers training corps"
"SAR", "search and rescue"
"SCSI", "small computer serial interface"
"SOP", "standard operating procedure"
"SPF", "sun protection factor"
"SRO", "standing room only"
"STD", "sexually transmitted disease"
"SWAK", "sealed with a kiss"
"SWAT", "special weapons and tactics"
"TDK", "tokyo denki kogaku"
"TGIF", "thank god it's friday"
"TIFF", "tag image file format"
"TTY", "teletypewriter"
"UHF", "ultra high frequency"
"UNESCO", "united nations educational, scientific and cultural organization"
"UNICEF", "united nations international children's emergency fund"
"URL", "uniform resource locator"
"VCR", "video cassette recorder"
"VHF", "very high frequency"
"VHS", "video home system"
"WAC", "women's army corps"
"WAVES", "women accepted for volunteer emergency service"
"WC", "water closet"
"WNL", "within normal limits"
"WYSIWYG", "what you see is what you get"
"Y2K", "year 2000"
"ZIP", "zone improvement plan"
