"A big hunk ____", "o' love"
"A boy like me a girl ____", "like you"
"A cane and a high starched ____", "collar"
"A dog's ____", "life"
"A house that has ____", "everything"
"A hundred years ____", "from now"
"A little bit of ____", "green"
"A little less ____", "conversation"
"A mess of ____", "blues"
"A thing ____", "called love"
"A whistling ____", "tune"
"A world of ____", "our own"
"Adam and ____", "evil"
"After loving ____", "you"
"Ain't that loving ____", "you baby"
"All ____", "shook up"
"All I needed was the ____", "rain"
"All that ____", "i am"
"Almost always ____", "true"
"Almost in ____", "love"
"Always on ____", "my mind"
"Am I ____", "ready"
"Amazing ____", "grace"
"America the ____", "beautiful"
"An evening ____", "prayer"
"And I love ____", "you so"
"And the grass won't pay ____", "no mind"
"Animal ____", "instinct"
"Any day ____", "now"
"Any place is ____", "paradise"
"Anyone could fall in love ____", "with you"
"Anything that's part ____", "of you"
"Anyway you ____", "want me"
"Are you ____", "lonesome tonight"
"Are you ____", "sincere"
"As long as ____", "i have you"
"Ask ____", "me"
"Baby, if you'll give me all ____", "of your love"
"Baby, let's ____", "play house"
"Baby, what you want ____", "me to do"
"Barefoot ____", "ballad"
"Beach ____", "shack"
"Beach boy ____", "blues"
"Because of ____", "love"
"Beginner's ____", "luck"
"Beyond the ____", "bend"
"Beyond the ____", "reef"
"Big ____", "boots"
"Big ____", "boss man"
"Big love big ____", "heartache"
"Bitter they are, harder ____", "they fall"
"Black ____", "star"
"Blue ____", "christmas"
"Blue ____", "hawaii"
"Blue ____", "moon"
"Blue ____", "river"
"Blue eyes crying ____", "in the rain"
"Blue moon of ____", "kentucky"
"Blue suede ____", "shoes"
"Blueberry ____", "hill"
"Bosom of ____", "abraham"
"Bossa nova, ____", "baby"
"Bridge over ____", "troubled water"
"Bringin' it ____", "back"
"Burning ____", "love"
"C'mon ____", "everybody"
"Can't help ____", "falling in love"
"Change of ____", "habit"
"Cindy, ____", "cindy"
"City by ____", "night"
"Clean up your own ____", "backyard"
"Come ____", "along"
"Come what may you ____", "are mine"
"Cotton ____", "candy land"
"Could I fall ____", "in love"
"Cross my heart and ____", "hope to die"
"Crying in ____", "the chapel"
"Dainty little ____", "moonbeams"
"Dirty, dirty ____", "feeling"
"Dixieland ____", "rock"
"Do not ____", "disturb"
"Do the ____", "vega"
"Do you know ____", "who i am"
"Doin' the ____", "best i can"
"Don't ____", "be cruel"
"Don't ask ____", "me why"
"Don't cry ____", "daddy"
"Don't forbid ____", "me"
"Don't leave ____", "me now"
"Don't think twice ____", "it's all right"
"Double ____", "trouble"
"Down by the riverside and when the saints ____", "come marchin' in"
"Down in ____", "the alley"
"Drums of the ____", "islands"
"Early mornin' ____", "rain"
"Earth ____", "boy"
"Easy come ____", "easy go"
"Echoes of ____", "love"
"Edge of ____", "reality"
"El ____", "toro"
"Everybody come ____", "aboard"
"Faded ____", "love"
"Fame and ____", "fortune"
"Farther ____", "along"
"Find out what's ____", "happening"
"Finders keepers, ____", "losers weepers"
"First in ____", "line"
"Five sleepy ____", "heads"
"Flaming ____", "star"
"Follow ____", "that dream"
"Fool, ____", "fool, fool"
"Fools ____", "rush in"
"Fools fall ____", "in love"
"For ol' times ____", "sake"
"For the ____", "good times"
"For the ____", "heart"
"For the millionth and the ____", "last time"
"Forget me ____", "never"
"Fountain of ____", "love"
"Frankie and ____", "johnny"
"From a Jack to ____", "a king"
"Fun in ____", "acapulco"
"Funny how time ____", "slips away"
"G.I. ____", "blues"
"Gentle on ____", "my mind"
"Girl ____", "happy"
"Girl of ____", "mine"
"Girls! ____", "girls! girls!"
"Go east, ____", "young man"
"Goin' ____", "home"
"Golden ____", "coins"
"Gonna get back home ____", "somehow"
"Good luck ____", "charm"
"Good rockin' ____", "tonight"
"Good time Charlie's got ____", "the blues"
"Got a lot o' livin' ____", "to do"
"Green green ____", "grass of home"
"Guitar ____", "man"
"Happy ____", "ending"
"Harbor ____", "lights"
"Hard ____", "knocks"
"Hard ____", "luck"
"Hard headed ____", "woman"
"Harem ____", "holiday"
"Have I told you lately that ____", "i love you"
"Hawaiian ____", "sunset"
"Hawaiian ____", "wedding song"
"He knows just what ____", "i need"
"He touched ____", "me"
"He'll have ____", "to go"
"He's only a ____", "prayer away"
"Heart of ____", "rome"
"Heartbreak ____", "hotel"
"Help ____", "me"
"Help me make it ____", "through the night"
"Here comes Santa Claus right down ____", "santa claus lane"
"Hey, ____", "hey, hey"
"Hey, little ____", "girl"
"Hi heel ____", "sneakers"
"His hand in ____", "mine"
"Holly leaves and ____", "christmas trees"
"Home is where ____", "the heart is"
"Hot ____", "dog"
"Hound ____", "dog"
"House of ____", "sand"
"How can you lose what you ____", "never had"
"How do you think ____", "i feel"
"How great ____", "thou art"
"How the web ____", "was woven"
"How would you ____", "like to be"
"How's the world ____", "treating you"
"I ____", "believe"
"I beg ____", "of you"
"I believe in the man ____", "in the sky"
"I can ____", "help"
"I can't stop ____", "loving you"
"I don't ____", "want to"
"I don't care if the sun ____", "don't shine"
"I don't wanna ____", "be tied"
"I feel ____", "so bad"
"I feel that I've known ____", "you forever"
"I forgot to remember ____", "to forget"
"I got ____", "lucky"
"I got ____", "stung"
"I got a ____", "woman"
"I got a feelin' ____", "in my body"
"I gotta ____", "know"
"I just can't make it ____", "by myself"
"I love only ____", "one girl"
"I love you ____", "because"
"I met her ____", "today"
"I miss ____", "you"
"I need ____", "you so"
"I need somebody ____", "to lean on"
"I need your ____", "love tonight"
"I really don't want ____", "to know"
"I shall be ____", "released"
"I shall not be ____", "moved"
"I slipped, I stumbled, ____", "i fell"
"I think I'm gonna ____", "like it here"
"I want to ____", "be free"
"I want you ____", "with me"
"I want you, I need you, ____", "i love you"
"I was ____", "the one"
"I was born about ten ____", "thousand years ago"
"I washed my hands in ____", "muddy water"
"I will ____", "be true"
"I will be ____", "home again"
"I'll ____", "be back"
"I'll ____", "never know"
"I'll be ____", "there"
"I'll be home for ____", "christmas"
"I'll be home on ____", "christmas day"
"I'll hold you in my heart till I can hold you ____", "in my arms"
"I'll never fall in ____", "love again"
"I'll never let you go ____", "little darlin'"
"I'll remember ____", "you"
"I'll take ____", "love"
"I'll take you home again ____", "kathleen"
"I'm ____", "leavin'"
"I'm ____", "yours"
"I'm beginning to ____", "forget you"
"I'm coming ____", "home"
"I'm countin' ____", "on you"
"I'm falling in love ____", "tonight"
"I'm gonna sit right down and ____", "cry over you"
"I'm gonna walk dem ____", "golden stairs"
"I'm left, you're right, ____", "she's gone"
"I'm movin' ____", "on"
"I'm not the ____", "marrying kind"
"I'm so lonesome ____", "i could cry"
"I'm with a crowd but ____", "so alone"
"I've got ____", "confidence"
"I've got a thing about ____", "you baby"
"I've got to find ____", "my baby"
"I've lost ____", "you"
"If every day was like ____", "christmas"
"If I ____", "were you"
"If I can ____", "dream"
"If I get home on ____", "christmas day"
"If I'm a fool for ____", "loving you"
"If that isn't ____", "love"
"If the Lord wasn't walking ____", "by my side"
"If we never ____", "meet again"
"If you don't ____", "come back"
"If you love me ____", "let me know"
"If you talk in ____", "your sleep"
"If you think I don't ____", "need you"
"In my ____", "way"
"In my father's house are many ____", "mansions"
"In the ____", "garden"
"In the ____", "ghetto"
"In your ____", "arms"
"Indescribably ____", "blue"
"Inherit ____", "the wind"
"Is it so ____", "strange"
"Island of ____", "love"
"It ____", "hurts me"
"It ain't no big thing but it's ____", "growing"
"It feels ____", "so right"
"It is no secret what ____", "god can do"
"It won't be ____", "long"
"It won't seem like ____", "christmas"
"It's ____", "impossible"
"It's ____", "midnight"
"It's ____", "over"
"It's a ____", "sin"
"It's a Long ____", "lonely highway"
"It's a matter of ____", "time"
"It's a wonderful ____", "world"
"It's carnival ____", "time"
"It's diff'rent ____", "now"
"It's easy ____", "for you"
"It's now ____", "or never"
"It's only ____", "love"
"It's still ____", "here"
"It's your baby, you ____", "rock it"
"Jailhouse ____", "rock"
"Jesus walked that lonesome ____", "valley"
"Just ____", "because"
"Just ____", "pretend"
"Just a little talk with ____", "jesus"
"Just call me ____", "lonesome"
"Just for old time ____", "sake"
"Just tell her Jim said ____", "hello"
"Kentucky ____", "rain"
"King ____", "creole"
"King of the whole ____", "wide world"
"Kiss me ____", "quick"
"Kissin' ____", "cousins"
"Known only to ____", "him"
"Lawdy miss ____", "clawdy"
"Lead me, ____", "guide me"
"Let ____", "yourself go"
"Let it ____", "be me"
"Let me ____", "be there"
"Let us ____", "pray"
"Let's be ____", "friends"
"Let's forget about ____", "the stars"
"Like a ____", "baby"
"Little ____", "darlin'"
"Little ____", "egypt"
"Little ____", "sister"
"Little cabin on ____", "the hill"
"Lonely ____", "man"
"Lonesome ____", "cowboy"
"Long black ____", "limousine"
"Long legged girl with a ____", "short dress on"
"Long tall ____", "sally"
"Look out ____", "broadway"
"Love ____", "letters"
"Love ____", "me"
"Love coming ____", "down"
"Love me ____", "tender"
"Love me ____", "tonight"
"Love me, love the life ____", "i lead"
"Love song of ____", "the year"
"Lover ____", "doll"
"Lovin' ____", "arms"
"Loving ____", "you"
"Make me ____", "know it"
"Make the ____", "world go away"
"Mama liked ____", "the roses"
"Mansion over the ____", "hilltop"
"Marie's the name of His ____", "latest flame"
"Mary in the ____", "morning"
"Mean woman ____", "blues"
"Memphis ____", "tennessee"
"Merry Christmas ____", "baby"
"Milkcow blues ____", "boogie"
"Milky ____", "white way"
"Miracle of the ____", "rosary"
"Money ____", "honey"
"Moody ____", "blue"
"Moonlight ____", "swim"
"Mr. ____", "songman"
"My ____", "babe"
"My ____", "boy"
"My ____", "happiness"
"My ____", "way"
"My baby ____", "left me"
"My desert ____", "serenade"
"My little ____", "friend"
"My wish ____", "came true"
"Mystery ____", "train"
"Never ____", "again"
"Never ____", "ending"
"Never been to ____", "spain"
"Never say ____", "yes"
"New ____", "orleans"
"Night ____", "life"
"Night ____", "rider"
"No ____", "more"
"Now and then there's A fool ____", "such as i"
"O come, all ye ____", "faithful"
"O little town of ____", "bethlehem"
"Old ____", "macdonald"
"Old ____", "shep"
"On a snowy Christmas ____", "night"
"Once is ____", "enough"
"One ____", "night"
"One boy two ____", "little girls"
"One broken ____", "heart for sale"
"One night of ____", "sin"
"One track ____", "heart"
"One-sided love ____", "affair"
"Only ____", "believe"
"Only the strong ____", "survive"
"Paradise, ____", "hawaiian style"
"Patch ____", "it up"
"Petunia the gardener's ____", "daughter"
"Pieces of ____", "my life"
"Plantation ____", "rock"
"Playing for ____", "keeps"
"Please don't drag that ____", "string around"
"Pocketful of ____", "rainbows"
"Polk salad ____", "annie"
"Poor ____", "boy"
"Proud ____", "mary"
"Put the blame ____", "on me"
"Reach out to ____", "jesus"
"Ready ____", "teddy"
"Release ____", "me"
"Return ____", "to sender"
"Rip ____", "it up"
"Rock-a-hula ____", "baby"
"Santa ____", "lucia"
"See see ____", "rider"
"Seeing is ____", "believing"
"Sentimental ____", "me"
"Shake ____", "a hand"
"Shake that ____", "tambourine"
"She's ____", "not you"
"She's a ____", "machine"
"Shoppin' ____", "around"
"Silver ____", "bells"
"Slicin' ____", "sand"
"So close, yet so far from ____", "paradise"
"So glad ____", "you're mine"
"Something ____", "blue"
"Starting ____", "today"
"Steamroller ____", "blues"
"Steppin' out ____", "of line"
"Stranger in the ____", "crowd"
"Stuck ____", "on you"
"Such an Easy ____", "question"
"Susan when she ____", "tried"
"Suspicious ____", "minds"
"Sweet ____", "caroline"
"Take me to ____", "the fair"
"Teddy ____", "bear"
"That's all right, ____", "mama"
"That's someone you ____", "never forget"
"That's what you get For ____", "lovin' me"
"That's when your ____", "heartaches begin"
"The ____", "fool"
"The bullfighter ____", "was a lady"
"The first ____", "noel"
"The girl of my ____", "best friend"
"The impossible ____", "dream"
"The Lord's ____", "prayer"
"The next step ____", "is love"
