"Meaning A Badger", "brock"
"Meaning A Baker", "baxter"
"Meaning A Bishop", "bishop"
"Meaning A Blessing", "bracha"
"Meaning A Brit", "brighton"
"Meaning A Brit", "bryton"
"Meaning A Broad Ford", "bradford"
"Meaning A Broad Lea, Meadow", "bradley"
"Meaning A Builder", "bona"
"Meaning A Butterfly", "butterfly"
"Meaning A Cap", "barretta"
"Meaning A Dancing Song", "ballard"
"Meaning A Flame", "blaze"
"Meaning A Flower, Bloom", "bluma"
"Meaning A Raven", "brendan"
"Meaning A Steep Climb", "brent"
"Meaning Above, Superior", "belay"
"Meaning All Good", "bono"
"Meaning Anteater", "bikita"
"Meaning Baby", "baby"
"Meaning Baby", "bebe"
"Meaning Bailiff, Steward", "bailey"
"Meaning Bailiff", "baylee"
"Meaning Barley Farm", "barton"
"Meaning Bear or Cottag", "byron"
"Meaning Bear", "bjorn"
"Meaning Beautiful Snake", "belinda"
"Meaning Beautiful View", "belva"
"Meaning Beautiful, Handsome", "beau"
"Meaning Beautiful, Handsome", "beauregard"
"Meaning Beautiful", "belita"
"Meaning Beautiful", "blinda"
"Meaning Beauty", "belle"
"Meaning Birch Tree", "birch"
"Meaning Blessed", "baruch"
"Meaning Blessed", "beatriz"
"Meaning Blessed", "bendek"
"Meaning Blessed", "benecia"
"Meaning Blessed", "benedict"
"Meaning Blessings", "barke"
"Meaning Blonde", "blondelle"
"Meaning Bold As A Bear", "bernard"
"Meaning Born after Long Wait", "biton"
"Meaning Bowman", "bevis"
"Meaning Brandy, After Dinner Drink", "brandee"
"Meaning Brave as a Bear", "bernadette"
"Meaning Brave", "brayden"
"Meaning Bright Maiden", "berdine"
"Meaning Bright, nobility", "bert"
"Meaning Bringer of Joy", "beatrice"
"Meaning Brings Victory", "bernice"
"Meaning Briton, British", "brett"
"Meaning Broad Meadow", "brad"
"Meaning Broad", "braden"
"Meaning Brook, Stream", "brooke"
"Meaning Brook, Stream", "brooklyn"
"Meaning Broth", "bree"
"Meaning Brown Haired", "bruno"
"Meaning Burnt Meadow", "brinley"
"Meaning By God!", "beyla"
"Meaning Child", "bambi"
"Meaning Consecrated to God", "bethan"
"Meaning Consecrated to God", "betty"
"Meaning Courageous", "burdette"
"Meaning Covered Bridge", "brigham"
"Meaning Crane", "baka"
"Meaning Crib", "bingham"
"Meaning Crowned with Laurel", "brencis"
"Meaning Dark and Pure", "bronwen"
"Meaning Dedicated to God", "belicia"
"Meaning Deer, Cowboy", "buck"
"Meaning Doer of Good Deeds", "bonifacy"
"Meaning Fairy Palace", "brein"
"Meaning Father of Multitudes", "braima"
"Meaning Fem. form of BENEDICT", "benita"
