"Meaning A Branch, bough", "dalia"
"Meaning A Gazelle", "dorcas"
"Meaning A Gift", "donato"
"Meaning A Gift", "dore"
"Meaning A God", "devaki"
"Meaning A Hill", "donnel"
"Meaning A Hindu God", "darshan"
"Meaning A Shiny Knife", "doris"
"Meaning A Tribe", "dorset"
"Meaning Affluent", "dario"
"Meaning All", "duka"
"Meaning An Idol", "dillian"
"Meaning Army of the People", "deiter"
"Meaning Aunt", "doda"
"Meaning Baby Princess", "damita"
"Meaning Baker", "duff"
"Meaning Before", "dejah"
"Meaning Belonging to God", "dominick"
"Meaning Belonging to the Lord", "domani"
"Meaning Belongs to God", "deron"
"Meaning Beloved Leader", "derica"
"Meaning Beloved", "dafydd"
"Meaning Beloved", "david"
"Meaning Beloved", "davina"
"Meaning Big Soul", "donahi"
"Meaning Black Hill", "douglas"
"Meaning Blond", "dewitt"
"Meaning Bold", "diallo"
"Meaning Bright and Sunny Town", "dayton"
"Meaning Bright Day", "dagobert"
"Meaning Bright Like Daytime", "delbert"
"Meaning Brilliant Gem", "diamond"
"Meaning Brown Hero", "dooley"
"Meaning Brown Stranger", "donald"
"Meaning Brown Warrior", "donagh"
"Meaning Brown", "dunn"
"Meaning Celestial Spirit", "deva"
"Meaning Compassion", "dara"
"Meaning Constant,Loyal", "damon"
"Meaning Daisy Flower", "daisy"
"Meaning Dark Foreigner", "doyle"
"Meaning Dark Haired", "dolan"
"Meaning Dark Man", "dorjan"
"Meaning Dark One", "darcy"
"Meaning Dark Skinned Warrior", "duncan"
"Meaning Dark Warrior", "donovan"
"Meaning Dark-Colored", "dugan"
"Meaning Dark", "daray"
"Meaning Dawn", "dawn"
"Meaning Dear Friend", "darwin"
"Meaning Dear Heart", "dyre"
"Meaning Dear, Beloved", "daryl"
"Meaning Dear, Loved One", "darla"
"Meaning Deer", "dyani"
"Meaning Descendant of the Challenger", "delaney"
"Meaning Descendent of the Challenger", "delaine"
"Meaning Desire", "desiderio"
"Meaning Desire", "didier"
"Meaning Desired", "desiree"
"Meaning Desired", "dezso"
"Meaning Dexterous", "dexter"
"Meaning Dim. of Constantine", "dinos"
"Meaning Divine Display", "dasha"
"Meaning Divine Flower", "diantha"
"Meaning Divine Quieen", "deon"
"Meaning Divine Spirit", "duscha"
"Meaning Divine, Valley", "deanna"
"Meaning Divine", "deanne"
"Meaning Divine", "diana"
"Meaning Dolphin", "delfina"
"Meaning Down Below", "dacey"
"Meaning Dragon", "drake"
"Meaning Draw Water", "dalit"
"Meaning Dune Dweller", "doane"
"Meaning Envy Free", "dermot"
"Meaning Faithful", "dillon"
"Meaning Famous Ruler", "derek"
"Meaning Fem. form of DAVID", "davan"
"Meaning Feminine form of DENNIS", "denise"
"Meaning Finnish", "davin"
"Meaning Flower named for botanist A. Dahl", "dahlia"
"Meaning Flower of the Gods", "dianthe"
"Meaning Form of DANIEL", "danil"
"Meaning Form of DEBORAH", "devorit"
"Meaning Form of DEXTER", "dextra"
"Meaning Form of DILLON", "dillan"
"Meaning Form of DONAL", "donelle"
"Meaning Form of DREW", "dru"
"Meaning Free Man", "darby"
"Meaning From DEAN and LIZ", "deliz"
"Meaning From Demeter", "demetria"
"Meaning From DIANA", "dionne"
"Meaning From the Dale", "dallin"
"Meaning From the Flower", "delphine"
"Meaning From the Meadow", "dudley"
"Meaning From the name CORDELIA", "delia"
"Meaning From the name DALTON", "dale"
"Meaning From the name DANIEL", "dan"
"Meaning From the name DANIEL", "danielle"
"Meaning From the name DANIEL", "danny"
"Meaning From the name Daniel", "danyl"
"Meaning From the name DANTE", "danton"
"Meaning From the name DARIN", "darian"
"Meaning From the name DARREN", "darrin"
"Meaning From the name Darren", "darrion"
"Meaning From the name DARRYL", "darrell"
"Meaning From the name DARYL", "darryl"
"Meaning From the name DAVID", "dave"
"Meaning From the name DAVID", "davida"
"Meaning From the name DAVID", "dewey"
"Meaning From the name DEAN", "dina"
"Meaning From the name DEAN", "dinah"
"Meaning From the name DEBORAH", "debbie"
