"Meaning A Crow", "fala"
"Meaning A Fern Plant or See FERDINAND", "fern"
"Meaning A Field", "fell"
"Meaning A Field", "field"
"Meaning A Fig", "fico"
"Meaning A Fish", "fisk"
"Meaning A Fox", "fox"
"Meaning A Journey", "foy"
"Meaning A Spring", "fountain"
"Meaning A Wild Donkey", "farrah"
"Meaning Arrow Maker", "fletcher"
"Meaning Arrow", "flan"
"Meaning Ash Tree", "frayne"
"Meaning Bean Grower", "fabian"
"Meaning Bean Grower", "fabienne"
"Meaning Bean Grower", "fabiola"
"Meaning Betrothed, Whimsical", "fanchon"
"Meaning Brave Man", "favian"
"Meaning Brilliant", "filbert"
"Meaning Chief of Peace", "farica"
"Meaning Contraction of FREDERICK", "fritz"
"Meaning Courageous", "fadey"
"Meaning Daring, Adventurous", "fernando"
"Meaning Daughter of the Prophet", "fatima"
"Meaning Divine Gift", "fedora"
"Meaning Ever Good", "felimy"
"Meaning Fair Haired One", "finley"
"Meaning Fair Haired", "fairfax"
"Meaning Fair Offspring", "fineen"
"Meaning Fair", "fenella"
"Meaning Fair", "finn"
"Meaning Fair", "finna"
"Meaning Fair", "fionan"
"Meaning Fairy Kingdom", "faylinn"
"Meaning Fairy or Elf", "fay"
"Meaning Fairy or Elf", "faye"
"Meaning Faithful", "fidel"
"Meaning Faithful", "fidelia"
"Meaning Faithful", "fidelio"
"Meaning Faithful", "fidella"
"Meaning Flat Land", "flannery"
"Meaning Flourishing", "florida"
"Meaning Flower of Mary", "floramaria"
"Meaning Flower", "fiorenza"
"Meaning Flowering", "floria"
"Meaning Flowering", "floriane"
"Meaning Form of FREDERICK", "freed"
"Meaning Fortunate, Happy", "felice"
"Meaning Fortunate", "fausta"
"Meaning Free (F)", "frances"
"Meaning Free (M)", "francis"
"Meaning Free Man", "franklin"
"Meaning Free Man", "freeman"
"Meaning Free", "fran"
"Meaning Free", "francesca"
"Meaning Free", "frank"
"Meaning Free", "franz"
"Meaning Freedom Mountain", "fremont"
"Meaning Friar", "fraley"
"Meaning Friendship", "filia"
"Meaning From FIONA", "fionn"
"Meaning From the name FELICIA", "felicity"
"Meaning From the name FENELLA", "finola"
"Meaning From the name FIONA", "fionnula"
"Meaning From the name FLORENCE", "fleur"
"Meaning From the name FLORENCE", "flo"
"Meaning From the name FLORENCE", "flora"
"Meaning From the name FLORENCE", "florrie"
"Meaning From the name FLORENCE", "flower"
"Meaning From the name FORREST", "foster"
"Meaning From the name FORRESTER", "forster"
"Meaning From the name FREDERICK", "fred"
"Meaning From the name FREDERICK", "freddy"
"Meaning From the name FREDRICA", "frederica"
"Meaning From the name FREIDA", "fritzi"
"Meaning Given to Luck", "fortune"
"Meaning God Assists", "feivel"
"Meaning God has Given Me This", "fabunni"
"Meaning Goddess of Love, Fertility and Beauty", "freya"
"Meaning Happiness, Joy", "fisseha"
"Meaning Happiness", "felicia"
"Meaning Happy and Prosperous", "felix"
"Meaning Hard Quartz Rock", "flint"
"Meaning Heir to the Redheaded", "flynn"
"Meaning Honor", "fola"
"Meaning Horseman/Knight", "faris"
"Meaning House", "fale"
"Meaning Irish Saint", "fiachra"
"Meaning Iron Ring", "ferrol"
"Meaning Iron Worker", "ferris"
"Meaning Leafy Branch", "fronde"
"Meaning Lover of Horses", "filipina"
"Meaning Lucky", "faustine"
"Meaning Man of Strength", "fergal"
"Meaning Manly", "fergus"
"Meaning Norse Goddess of Love", "freja"
"Meaning Occupational Surname", "fuller"
"Meaning Of a Ruling Family", "fallon"
"Meaning Of Proven Courage", "farrell"
"Meaning Of the Forest", "forrester"
"Meaning Of the Woods, Forest", "forrest"
"Meaning One Who Is Religious", "fruma"
"Meaning One with Skillful Hands", "fabrizio"
"Meaning Peace, Joy", "frieda"
"Meaning Peace", "feleti"
"Meaning Peace", "frederick"
"Meaning Peace", "fredrica"
"Meaning Prosperous, Flowering", "florence"
"Meaning Prosperous", "forbes"
"Meaning Road", "ford"
"Meaning Seed, Offspring", "frye"
"Meaning Smooth Rock", "feoras"
"Meaning Son of FERGUS", "ferguson"
"Meaning Stawberry", "frasier"
"Meaning Strong Man", "fearghus"
"Meaning Swift", "fleta"
"Meaning The Far Meadow", "fairly"
"Meaning The Hollow", "floyd"
"Meaning To be Courageous", "ferdinand"
"Meaning To Destroy", "fordon"
"Meaning To Melt", "fonda"
"Meaning To Melt", "fondea"
"Meaning To Trust", "faith"
"Meaning Town in a Field", "felton"
"Meaning Very Light", "fulbright"
"Meaning White Shoulder", "fennella"
"Meaning White, Fair", "fiona"
"Meaning Yellow, Blonde", "flavian"
"Meaning Young Deer", "fawn"
