"Meaning A Bohemian Traveler", "gypsy"
"Meaning A Clearing", "glynn"
"Meaning A Dove", "giona"
"Meaning A Field, Garden", "garth"
"Meaning A Gardener", "gardner"
"Meaning A German", "germain"
"Meaning A Grain", "gram"
"Meaning A Narrow Valley", "glynis"
"Meaning A Pledge, A Pawn", "gage"
"Meaning A Promise", "giselle"
"Meaning A Secluded, Woody Valley", "glen"
"Meaning A Srpout", "germaine"
"Meaning A Stranger There", "gershom"
"Meaning A Stranger", "gale"
"Meaning Adored Warrior", "gertrude"
"Meaning Armenian City", "garin"
"Meaning Baby Lion", "gur"
"Meaning Barriers", "gates"
"Meaning Battlefield", "garfield"
"Meaning Battler", "gudrun"
"Meaning Beautiful & Holy", "glenys"
"Meaning Believer in God", "gavril"
"Meaning Born to Nobility", "gene"
"Meaning Brave Soldiear", "gunnar"
"Meaning Brave", "gaylord"
"Meaning Brave", "gerard"
"Meaning Brilliant, Trustworthy", "gigi"
"Meaning Burnt", "guban"
"Meaning Calm, tranquil", "galen"
"Meaning Camel", "gamal"
"Meaning Circle", "gilon"
"Meaning Deer", "gazelle"
"Meaning Defender", "ganit"
"Meaning Divine Goodness", "glenda"
"Meaning Eager Helper", "gallagher"
"Meaning Eden", "genet"
"Meaning Endless Patience", "grizelda"
"Meaning Fair Complected", "gannon"
"Meaning Fair One", "guenevere"
"Meaning Fair One", "guinevere"
"Meaning Farmer", "george"
"Meaning Farmer", "georgette"
"Meaning Farmer", "georgia"
"Meaning Fem. form of GEORGE", "georgina"
"Meaning Fem. form of GLEN", "glenna"
"Meaning Female Warrior", "gunda"
"Meaning Fifth", "goro"
"Meaning Flower", "ginata"
"Meaning Form of GUINIVERE", "genevieve"
"Meaning Form of GWENDOLYN", "gwen"
"Meaning Form of JOSEPH", "giuseppe"
"Meaning Fortunate, Blessed", "gwyneth"
"Meaning Fountain", "gali"
"Meaning From Gaeta, Italy", "gaetane"
"Meaning From Gaeta", "gaetan"
"Meaning From JOHN & CHARLES", "ginacarlo"
"Meaning From the Grove", "grover"
"Meaning From the name ABIGAIL", "gail"
"Meaning From the name GABRIEL", "gabe"
"Meaning From the name GABRIEL", "gabriela"
"Meaning From the name GABRIELA", "gabi"
"Meaning From the name GABRIELLE", "gabby"
"Meaning From the name GABRIELLE", "gabriella"
"Meaning From the name GABRIELLE", "gaby"
"Meaning From the name GAIL", "gayle"
"Meaning From the name GAINELL", "gaynell"
"Meaning From the name GARRET", "garry"
"Meaning From the name GARRISON", "garson"
"Meaning From the name GENEVA", "genna"
"Meaning From the name GEORGE", "giorgio"
"Meaning From the name GERALD", "geraldo"
"Meaning From the name GERALD", "gerry"
"Meaning From the name GERALDINE", "geraldene"
"Meaning From the name GERALDINE", "geri"
"Meaning From the name GISELLE", "gisela"
"Meaning From the name GITA", "gitel"
"Meaning From the name GITA", "gittel"
"Meaning From the name GLEN", "glenn"
"Meaning From the name GLORIA", "glora"
"Meaning From the name GLORIA", "glory"
"Meaning From the name GLYNIS", "glynnis"
"Meaning From the name GOLDA", "goldie"
"Meaning From the name GOLDA", "goldy"
"Meaning From the name GORDON", "gordy"
"Meaning From the name GRACE", "gracie"
"Meaning From the name GRACE", "grazia"
"Meaning From the name GREGORY", "greg"
"Meaning From the name GREGORY", "gregg"
"Meaning From the name JEFFREY", "geoff"
"Meaning From the name MARGARET", "greta"
"Meaning From the name MARGARET", "gretchen"
"Meaning From the name MARGARET", "gretel"
"Meaning From the name REGINA or VIRGINIA", "gina"
"Meaning From the name VIRGINIA", "gin"
"Meaning From the name VIRGINIA", "ginny"
"Meaning From the name WALTER", "gualtier"
"Meaning From the Valley or Glen", "glennis"
"Meaning From VIRGINIA or the Ginger Root", "ginger"
"Meaning Garden of the Lord", "ganya"
"Meaning Gentle", "gareth"
"Meaning Gentleman", "gent"
"Meaning Gift of Peace", "geoffrey"
"Meaning Glad, Pleased", "gamada"
"Meaning Glory", "gloria"
"Meaning God is Gracious", "giovanni"
"Meaning God is my Strength", "gabriel"
"Meaning God is my Strength", "gabrielle"
"Meaning Goddess of the Moon", "gwendolyn"
"Meaning Good", "gita"
"Meaning Grace of God", "grace"
"Meaning Grace", "gratia"
"Meaning Grace", "gratiana"
"Meaning Grain Goddess", "grania"
"Meaning Gray", "griselda"
"Meaning Great Warrior", "gideon"
"Meaning Great", "grant"
"Meaning Guarded, Protected", "gerda"
"Meaning Guardian", "garren"
"Meaning Guardian", "garron"
"Meaning Guide", "guy"
"Meaning Gypsy", "gitano"
"Meaning Hard Spear", "geraldine"
"Meaning Hero or Hill", "gerodi"
"Meaning Hewn Stone", "gazit"
"Meaning Hewn Stone", "giza"
"Meaning Hill Near Meadows", "geordi"
"Meaning Hill, High Place", "giva"
"Meaning Hindu Goddess of Plenty", "guri"
"Meaning Illuminated Child", "galeno"
"Meaning Innocent Baby", "gurit"
"Meaning Jasmine", "gelsey"
"Meaning Joy", "gella"
"Meaning Juniper Berry", "geneva"
"Meaning Lame", "gladys"
"Meaning Large Village", "granville"
"Meaning Leads by the Spear", "garrick"
"Meaning Left Handed", "gure"
"Meaning Life", "guido"
"Meaning Little Hawk", "gavin"
"Meaning Loving", "guillermina"
"Meaning Made of Gold", "golda"
"Meaning Male Child", "godana"
"Meaning Merry, Happy", "gay"
"Meaning Merry, Happy", "gaye"
"Meaning Merry", "gaille"
"Meaning Mighty Leader", "gautier"
"Meaning Money is Sweet", "gavivi"
"Meaning My Joy, Rejoice", "gili"
"Meaning Mystic", "gazali"
"Meaning Mythological Beast", "griffin"
"Meaning Of High Rank", "grady"
"Meaning Peace", "garvey"
"Meaning Pearl", "ghita"
"Meaning Pledge", "gizi"
"Meaning Powerful Soldier", "gellert"
"Meaning Precious Stone", "gemma"
"Meaning Pride", "gaurav"
"Meaning Rejoicer", "gaius"
"Meaning River of Black Stones", "guadalupe"
"Meaning Servant of God", "gilda"
"Meaning Servant of the Bishop", "gillespie"
"Meaning Servant", "giolla"
"Meaning Shield", "giles"
"Meaning Short for names beginning with GIL", "gil"
"Meaning Short for names ending with GINO", "gino"
"Meaning Son of Gilbert", "gibson"
"Meaning Son of the Grey-Haired One", "grayson"
"Meaning Sparrow", "galvin"
"Meaning Spear Carrier", "gary"
"Meaning Spear Warrior", "gerald"
"Meaning Staff of the Gods", "gustavo"
"Meaning Staff of the Goths", "gustave"
"Meaning Swords and Riches", "gerik"
"Meaning The Gray Home", "graham"
"Meaning The Supplanter", "giacomo"
"Meaning To Complete", "gomer"
"Meaning To Profit", "gainell"
"Meaning To Watch", "garret"
"Meaning To Watch", "garrett"
"Meaning Triangular Hill", "gordon"
"Meaning Triangular-shaped Land", "gore"
"Meaning Troops in Battle", "garrison"
"Meaning Trusted", "gilbert"
"Meaning Valley", "glyn"
