"Meaning A Beautiful Blending", "harmony"
"Meaning A Shrub, Plant", "heather"
"Meaning Alert One", "howell"
"Meaning Amulet", "hirsi"
"Meaning Anchor, steadfast", "hector"
"Meaning Army Ruler", "harold"
"Meaning Army Warrior", "harvey"
"Meaning Autumn", "herbst"
"Meaning Battling", "hedwig"
"Meaning Beloved One", "habib"
"Meaning Born in the Spring", "haru"
"Meaning Bright in Mind and Spirit", "hugh"
"Meaning Bright, excellent army or ruler", "herbert"
"Meaning Cheerful", "hilary"
"Meaning Daughter", "hija"
"Meaning Deer or Stag", "hart"
"Meaning Deer", "herschel"
"Meaning Elephant", "hastin"
"Meaning Estate Ruler", "hal"
"Meaning Evening Star", "hesper"
"Meaning Fem. form of HARVEY", "harva"
"Meaning Fem. form of HUGH", "huela"
"Meaning Female Deer", "hinda"
"Meaning Feminine form of HENRY", "henrietta"
"Meaning Festive Day", "holiday"
"Meaning Firey", "hakan"
"Meaning First Born", "haruko"
"Meaning Flight", "hajari"
"Meaning Flower", "hue"
"Meaning Footprint in the Sand", "hateya"
"Meaning Form of HILARY", "hilaire"
"Meaning Form of Irving", "heremon"
"Meaning Fortunate", "halona"
"Meaning Frog", "haracha"
"Meaning From a Vined Cottage", "haines"
"Meaning From the Army", "harlan"
"Meaning From the Beautiful Mountain", "hamilton"
"Meaning From the name HALEY", "hayley"
"Meaning From the name HALEY", "hollace"
"Meaning From the name HANNAH", "hana"
"Meaning From the name HAROLD", "harry"
"Meaning From the name HAYLEY", "haile"
"Meaning From the name HAZEL", "hazelle"
"Meaning From the name HEDDA", "hedy"
"Meaning From the name HEDIA", "hedya"
"Meaning From the name HELEN", "helaine"
"Meaning From the name HELEN", "helena"
"Meaning From the name HELEN", "helene"
"Meaning From the name HENRY", "hank"
"Meaning From the name HENRY", "henri"
"Meaning From the name HENRY", "henrik"
"Meaning From the name HERBERT", "herb"
"Meaning From the name HERMAN", "harmon"
"Meaning From the name HILARY", "hillary"
"Meaning From the name HILDA", "hilde"
"Meaning From the name HOLLY", "holli"
"Meaning From the name HOLLY", "hollye"
"Meaning From the name HOWARD", "howe"
"Meaning From the name HOWARD", "howie"
"Meaning From the name HUGH", "huey"
"Meaning From the name HUGH", "hugo"
"Meaning From the name HYMAN", "hy"
"Meaning From the name JOHN", "hans"
"Meaning From the name LOIS", "heloise"
"Meaning From the Well", "hartwell"
"Meaning Gifted", "heba"
"Meaning Glorious Gift", "hercules"
"Meaning Glorious", "hadar"
"Meaning Goddess of Life", "hanna"
"Meaning Goddess of the Hearth", "hestia"
"Meaning Goddess of the Moon", "hina"
"Meaning Good Luck", "hachi"
"Meaning Good, Perfect", "hao"
"Meaning Grace of God", "hannah"
"Meaning Gracious", "hannelore"
"Meaning Guardian of the Hedged Area", "hayward"
"Meaning Guardian of the Home", "howard"
"Meaning Hairy Bear", "huslu"
"Meaning Hall", "halen"
"Meaning Handsome One", "hussein"
"Meaning Harp Player", "harper"
"Meaning Harvest", "hasad"
"Meaning Hawk", "horus"
"Meaning He who Lives in High Place", "hyman"
"Meaning Heath Near the Wasteland", "hadley"
"Meaning Heaven", "heavynne"
"Meaning Hero", "haley"
"Meaning Hero", "hollis"
"Meaning Heroine", "halle"
"Meaning High Ground", "heaton"
"Meaning Hollow in the Valley", "holden"
"Meaning Holy, faithful", "helga"
"Meaning Holy", "hiero"
"Meaning Home Ruler", "harriet"
"Meaning Home", "hamlet"
"Meaning Honor", "honora"
"Meaning Honor", "honoria"
"Meaning Hot", "ham"
"Meaning Hour in Time", "horace"
"Meaning Household Ruler", "heinz"
"Meaning Joy", "hedva"
"Meaning Lamb", "hamal"
"Meaning Lazy", "hawa"
"Meaning Legend", "haig"
"Meaning Little Smart One", "hewitt"
"Meaning Little Town", "hampton"
"Meaning Lofty", "haroun"
"Meaning Lover of Home", "hamlin"
"Meaning Magnanimous", "hiroko"
"Meaning Meadow on the Cliff", "hanley"
"Meaning Moon and Stars", "hilzarie"
"Meaning Mountaineer", "haruni"
"Meaning My Strife", "hertz"
"Meaning Myrtle Tree", "hadassah"
"Meaning Noble One", "hidalgo"
"Meaning One Who Hunts", "hunter"
"Meaning Peace", "humphrey"
"Meaning Person of High Rank", "herman"
"Meaning Plant With Red Berries", "holly"
"Meaning Praise", "hila"
"Meaning Pride", "haben"
"Meaning Promise", "homer"
"Meaning Protector", "hilda"
"Meaning Queen of Heaven", "hera"
"Meaning Rabbit", "hazeka"
"Meaning Road, Path", "hanzila"
"Meaning Root", "hidi"
"Meaning Ruler of the Home", "henry"
"Meaning Sadness of the Bride", "huso"
"Meaning Safe Place", "haven"
"Meaning Salty Place", "hada"
"Meaning Salvation", "hosea"
"Meaning Sea", "hali"
"Meaning She Who Arrives First", "hasana"
"Meaning Shining Brightly", "haruki"
"Meaning Shining of Mind", "hubert"
"Meaning Short form of Adelaide", "heidi"
"Meaning Son of HARRY", "harrison"
"Meaning Spacious Meadow", "harley"
"Meaning Star", "hester"
"Meaning Star", "hoshi"
"Meaning Star", "hoshiko"
"Meaning Sun", "helia"
"Meaning Sweet as Honey", "honey"
"Meaning The Flower", "hyacinth"
"Meaning The Hazel Tree", "hazel"
"Meaning The Rosy Meadow", "hayden"
"Meaning The Sun", "heller"
"Meaning Torchlight", "helen"
"Meaning Town of Houses", "houston"
"Meaning Treasure", "hazina"
"Meaning Troops on the Hill", "harlow"
"Meaning Trust, Faith", "hope"
"Meaning Voice of the Lord", "hedia"
"Meaning War", "hedda"
"Meaning Warm Feelings", "hannan"
"Meaning Wasteland", "heath"
"Meaning Wood", "holt"
