"Meaning A Flag", "idra"
"Meaning A Meadow", "ingrid"
"Meaning A Vine", "ivy"
"Meaning Born by Breech", "ige"
"Meaning Bright", "iliana"
"Meaning Cheerful", "ilario"
"Meaning Colorful, Rainbow", "iris"
"Meaning Consecrated to God", "ilse"
"Meaning Consecrated to God", "isabel"
"Meaning Consecrated to God", "isabella"
"Meaning Consecrated to God", "isabelle"
"Meaning Darling", "ipo"
"Meaning Devoted", "inoke"
"Meaning Dim. of Isabel", "isi"
"Meaning Disciplinarian", "imala"
"Meaning Endless", "infinity"
"Meaning Fair One", "isolde"
"Meaning Fem. form of IAN", "ianna"
"Meaning Firey One", "ignatius"
"Meaning Form of EILEEN", "isleen"
"Meaning Form of Yves", "ivo"
"Meaning Freedom", "independence"
"Meaning Freedom", "isra"
"Meaning From IDA & ANNA", "idana"
"Meaning From IDA and LEE", "idalee"
"Meaning From IDALEE", "idalia"
"Meaning From India", "india"
"Meaning From ISABEL and ANNE", "isanne"
"Meaning From Italy", "italia"
"Meaning From the name AGNES", "inez"
"Meaning From the name DWIGHT or ISAAC", "ike"
"Meaning From the name IGGI", "iggy"
"Meaning From the name INGRID", "inga"
"Meaning From the name IRIS", "iria"
"Meaning From the name IVY", "ivi"
"Meaning From the name IVY", "ivie"
"Meaning From the name JOHN", "ian"
"Meaning From the name JOHN", "ivan"
"Meaning From the other side of the River", "ivria"
"Meaning Gift of Isis", "isadora"
"Meaning God is Gracious", "ivana"
"Meaning God is my Salvation", "ikia"
"Meaning God Listens", "ismaela"
"Meaning God of Heaven & Thunderstorms", "indira"
"Meaning God of Rain & Thunder", "indra"
"Meaning God of War", "irma"
"Meaning God will Develop", "iokina"
"Meaning God will Hear", "ismail"
"Meaning Goddess of Women In Labor", "ilithya"
"Meaning Great Tree", "ilana"
"Meaning Hairy", "issay"
"Meaning Handsome and Fair", "irving"
"Meaning Hardworking, Prosperous", "idania"
"Meaning Hardworking", "ida"
"Meaning He will laugh", "isaac"
"Meaning Honor", "ismet"
"Meaning I have no child", "izefia"
"Meaning Image, Likeness", "imogene"
"Meaning Innocent", "ince"
"Meaning Iris", "irisa"
"Meaning Island", "inge"
"Meaning Island", "isla"
"Meaning Jehovah is my God", "illias"
"Meaning Light, Joyous, Sunshine", "ilo"
"Meaning Little Princes", "izellah"
"Meaning Moon Man", "ion"
"Meaning Most Powerful of Egyptian Goddesses", "isis"
"Meaning Mother", "ina"
"Meaning My Enemies Are Many", "ilom"
"Meaning Mythological Creature", "iphigenia"
"Meaning Only Son", "iggi"
"Meaning Peaceful", "irene"
"Meaning Peaceful", "irina"
"Meaning Play of Colors", "iryl"
"Meaning Prince of God", "israel"
"Meaning Protection", "idande"
"Meaning Purple Jewel", "iona"
"Meaning Rational", "ilyssa"
"Meaning Royal Hawk", "iolani"
"Meaning Salvation of God", "isaiah"
"Meaning Shining", "iram"
"Meaning Shrimp", "inari"
"Meaning Snow", "istas"
"Meaning Soft Air", "isaura"
"Meaning Something Beautiful", "isabis"
"Meaning Special Treasure", "ilori"
"Meaning The Best", "ilit"
"Meaning The Hebrew Language", "ivrit"
"Meaning Thirst", "ide"
"Meaning Thirsty", "ita"
"Meaning Violet-Colored Dawn", "iola"
"Meaning Violet, Colored Flower", "ianthe"
"Meaning Watchful, Descendant", "ira"
"Meaning Wide, Love", "ife"
"Meaning Woman", "isha"
