"Meaning A Church", "kirby"
"Meaning A Crown", "ketara"
"Meaning A Fountain", "kelda"
"Meaning A Marshland", "kerr"
"Meaning A Raven", "kanga"
"Meaning A Town of Celts", "kelton"
"Meaning A Young Lioness", "kefira"
"Meaning Amaranth Blossoms", "kirsi"
"Meaning Animal Horn", "kenya"
"Meaning Annointed", "kiersten"
"Meaning Anointed", "karston"
"Meaning Arrived in Autumn", "karif"
"Meaning Ash", "kayonga"
"Meaning Bear", "kuma"
"Meaning Beautiful", "kennice"
"Meaning Beautiful", "kitoko"
"Meaning Beauty", "keely"
"Meaning Beggar", "kesin"
"Meaning Beloved", "kalila"
"Meaning benevolent", "khiry"
"Meaning Black Haired", "keira"
"Meaning Black", "keir"
"Meaning Blackbird", "kass"
"Meaning Blessed Event", "kaloosh"
"Meaning Blessed", "keitaro"
"Meaning Blessing", "keiko"
"Meaning Blond, White-haired", "kenyon"
"Meaning Braid", "kumi"
"Meaning Braid", "kumiko"
"Meaning Brave", "keena"
"Meaning Bright White", "kent"
"Meaning Bright, Clear", "kalea"
"Meaning Bright", "kenaz"
"Meaning Brown Hills", "kiona"
"Meaning Buying", "kaula"
"Meaning Ceremonial Attendant", "kamilia"
"Meaning Chestnut", "kuri"
"Meaning Chief", "kelii"
"Meaning Chief", "kenadia"
"Meaning Chief", "kynan"
"Meaning Child from the Country", "kuniko"
"Meaning Child, Kin", "kenna"
"Meaning Child", "keiki"
"Meaning China", "kina"
"Meaning Christ-bearer", "kristen"
"Meaning Christ-bearer", "kristine"
"Meaning Christbearer", "kristopher"
"Meaning Christian, Annointed", "khursten"
"Meaning Christian, Annointed", "kristian"
"Meaning Christian, Annointed", "krystyn"
"Meaning Cinnamon", "kizzy"
"Meaning Clever", "kassidy"
"Meaning Coal Town", "kolton"
"Meaning Conflict", "killian"
"Meaning Controller of Anger", "kasim"
"Meaning Copper", "kuper"
"Meaning Crooked Nose", "kameryn"
"Meaning Crowned", "kitra"
"Meaning Cured Salmon", "kipling"
"Meaning Dark and Mysterious", "kerri"
"Meaning Dark Goddess", "kali"
"Meaning Dark Haired Child", "kern"
"Meaning Dark Princess", "kerry"
"Meaning Dear Little One", "karina"
"Meaning Derivitive of Leon", "keon"
"Meaning Desolate, Arid", "kame"
"Meaning Dim. of CASSIUS", "kaz"
"Meaning Dog", "kalb"
