"Meaning A Bird", "merle"
"Meaning A Case to Answer", "milandu"
"Meaning A Dove", "malcolm"
"Meaning A Field", "mayes"
"Meaning A Honey Bee", "melissa"
"Meaning A King", "melchior"
"Meaning A Meadow", "medard"
"Meaning A Pearl", "maj"
"Meaning A Pearl", "margaret"
"Meaning Admirable, Beautiful", "miranda"
"Meaning Advisor", "monica"
"Meaning Advisor", "monique"
"Meaning Affection, Beloved", "morna"
"Meaning Almond", "mandel"
"Meaning Almond", "mandell"
"Meaning Already Prosperous", "mieko"
"Meaning Angel", "malaika"
"Meaning Apricot", "morela"
"Meaning Armored Chief", "melvina"
"Meaning Attendant", "magar"
"Meaning Attractive", "myrladis"
"Meaning Bear", "mahon"
"Meaning Beautiful Child", "miyo"
"Meaning Beautiful Child", "miyoko"
"Meaning Beautiful Eyes", "maha"
"Meaning Beauty, Wisdom", "michiko"
"Meaning Beloved", "myrna"
"Meaning Better", "major"
"Meaning Better", "meliora"
"Meaning Bitter or Sorrowful", "mara"
"Meaning Bitter Sea (from Mary)", "malia"
"Meaning Bitter Sea, House of God", "maribeth"
"Meaning Bitter, God is my Teacher", "mariah"
"Meaning Bitter", "maeron"
"Meaning Bitter", "maeryn"
"Meaning Bitter", "maili"
"Meaning Bitter", "marijke"
"Meaning Bitter", "marika"
"Meaning Bitter", "meli"
"Meaning Bitter", "mirit"
"Meaning Bitter", "murron"
"Meaning Black", "mauli"
"Meaning Blessing", "matana"
"Meaning Born in the Lunar Month of Aries", "meshal"
"Meaning Born under Capricorn", "makara"
"Meaning Brave", "marcello"
"Meaning Brave", "marcia"
"Meaning Bright Yellow", "melina"
"Meaning Brightness", "mai"
"Meaning Brook, First Wife of King David", "michal"
"Meaning By the Sea", "merlin"
"Meaning Candelabra", "menora"
"Meaning Chinese Tribe", "marrim"
"Meaning Collector of Thoughts, Determined Protector", "minty"
"Meaning Compassion", "mercy"
"Meaning Competant", "magan"
"Meaning Contraction of MARY", "may"
"Meaning Contraction of MARY", "minnie"
"Meaning Coral, Gracious", "marjean"
"Meaning Covered With Mist, Dew", "misty"
"Meaning Coyote", "mikasi"
"Meaning Curious Seeker of Knowledge", "moriba"
"Meaning Dark One", "morrisa"
"Meaning Dark Skinned", "melania"
"Meaning Dark Skinned", "morris"
"Meaning Dark-Skinned", "melanie"
"Meaning Dark", "maura"
"Meaning Dark", "maureen"
"Meaning Delicate, Graceful", "mignon"
"Meaning Descendants of MARY", "marilyn"
"Meaning Devoted to God", "mateo"
"Meaning Drawn Out of the Water", "moses"
"Meaning Emerald", "mya"
"Meaning Enduring", "macy"
"Meaning Favored by God", "mettabel"
"Meaning Feminine form of MICHAEL", "michaela"
"Meaning Flatterer, Industrious", "melia"
"Meaning Flower Stalk", "miki"
"Meaning Forgiver", "mahari"
"Meaning Form of MARCIA", "marsha"
"Meaning Form of MELANIE", "melantha"
"Meaning Form of MELISSA", "melita"
"Meaning Form of Michael", "michel"
"Meaning Form of MICHAEL", "mitchell"
"Meaning Form of MICHAELA", "macayle"
"Meaning Form of MIRANDA", "marenda"
"Meaning Form of MOLLY", "maille"
