"Meaning A Champion", "neal"
"Meaning A Safe Place", "nydia"
"Meaning Ancient Waters", "nen"
"Meaning Arrows", "nibal"
"Meaning Aztec God of the Sun - Dim. of Naolin", "naoll"
"Meaning Aztec God of the Sun", "naolin"
"Meaning Beautiful One from Heaven", "noelani"
"Meaning Beautiful, Ornamented", "noya"
"Meaning Beautiful, Pleasant", "naveen"
"Meaning Belief", "nori"
"Meaning Belongs to God", "nika"
"Meaning Below the Earth", "nedra"
"Meaning Bird", "natori"
"Meaning Birth", "naal"
"Meaning Bitter", "nariah"
"Meaning Born During Rainy Season", "nasha"
"Meaning Born in Summer", "natsu"
"Meaning Born on Christmas Day", "noel"
"Meaning Born on Christmas", "nadalia"
"Meaning Born to Nobility", "nabila"
"Meaning Bright", "niamh"
"Meaning Bud from a Flower", "nitza"
"Meaning Champion", "neil"
"Meaning Champion", "nia"
"Meaning Champion", "niall"
"Meaning Charming", "nani"
"Meaning Chief, Champion", "nealon"
"Meaning Chief", "nantai"
"Meaning Christmas, Birth Day", "nawal"
"Meaning Complete, Victorious", "nikhil"
"Meaning Conqueror of the People", "nicodemus"
"Meaning Covered in Snow", "nevada"
"Meaning Daffodil", "narcisse"
"Meaning Dance Lord", "natesa"
"Meaning Delivered Feet-First", "nafuna"
"Meaning Dim. of JUANITA", "nita"
"Meaning Diminuitive of NORA", "noreen"
"Meaning Elf", "nida"
"Meaning Eternal", "niran"
"Meaning Evening", "naeva"
"Meaning Famous", "nolan"
"Meaning Farming", "noma"
"Meaning Fawn", "niabi"
"Meaning Fem. form of Nicholas", "nicola"
"Meaning Female Child", "natane"
"Meaning Fierce One from Naples", "napoleon"
"Meaning Fiery, Intense", "necia"
"Meaning Flaming LIghts", "nuri"
"Meaning Flower Bud", "nizana"
"Meaning Forest Cove", "nowles"
"Meaning Form of ANNE", "ninon"
"Meaning Form of NEAL", "nelia"
"Meaning Form of NINA", "neena"
"Meaning Form of NORA", "norah"
"Meaning Founder of Clans", "naiser"
"Meaning Friend", "nitis"
"Meaning From HELEN", "nellie"
"Meaning From NOEL", "noe"
"Meaning From the name AGNES", "nessa"
"Meaning From the name ANNA", "nan"
"Meaning From the name BERNARD", "nardo"
"Meaning From the name NADIA", "nadie"
"Meaning From the name NATALIE", "nasia"
"Meaning From the name NATALIE", "natala"
"Meaning From the name NATALIE", "natalia"
"Meaning From the name NATALIE", "natalya"
"Meaning From the name NATALIE", "natasha"
"Meaning From the name NATALIE", "nathalie"
"Meaning From the name NATHAN", "nat"
"Meaning From the name NATHAN", "nate"
"Meaning From the name NATHANIEL", "niel"
"Meaning From the name NATHANIEL", "nigel"
"Meaning From the name NICHOLAS", "nick"
"Meaning From the name NICOLE", "nicki"
"Meaning From the name NICOLE", "nicolette"
"Meaning From the name NICOLE", "nikki"
"Meaning From the name NOLAND", "noland"
"Meaning From the name NORMAN", "norm"
"Meaning From the North", "norris"
"Meaning From the North", "norton"
"Meaning Generous", "nadda"
"Meaning Gift of God", "natania"
"Meaning Gift of God", "nathaniel"
"Meaning Girl", "nu"
"Meaning Girl", "nyako"
"Meaning Goddess of Night", "nyx"
"Meaning Goddess of the Deep", "nenet"
"Meaning Good News", "navid"
"Meaning Grace", "nusa"
"Meaning Gracious", "nancy"
"Meaning Gracious", "nanette"
"Meaning Guard at the North Gate", "norwood"
"Meaning Happy", "nara"
"Meaning Having Deep Roots", "nitara"
"Meaning He Gave", "nathan"
"Meaning Heartbeat of the Earth", "nitesh"
"Meaning Her Life", "nakeisha"
"Meaning Hopeful", "nadia"
"Meaning Hopeful", "nadine"
"Meaning I love you", "nayeli"
"Meaning Land of Canyons", "nairi"
"Meaning Light", "nitsa"
"Meaning Light", "nora"
"Meaning Light", "norina"
"Meaning Light", "nura"
"Meaning Light", "nuru"
"Meaning Little Saint", "nevan"
"Meaning Lovable", "nalo"
"Meaning Messenger", "nuncio"
"Meaning Miracle", "nasya"
"Meaning Moon Daughter", "nokomis"
"Meaning Moral", "neetee"
"Meaning My Daughter", "nituna"
"Meaning National Ind. Recovery Act", "nira"
"Meaning Nature", "nature"
"Meaning New Comer", "newman"
"Meaning New Moon", "neona"
"Meaning New Town", "neville"
"Meaning New Town", "newton"
"Meaning New", "neola"
"Meaning New", "nova"
"Meaning New", "novia"
"Meaning Ninth", "nina"
"Meaning Ninth", "nonnie"
"Meaning Norseman or Rule", "norman"
"Meaning Of Noble Birth", "nola"
"Meaning of the Natine Tribe", "natine"
"Meaning Of the Nativity", "natividad"
"Meaning Owl", "nascha"
"Meaning Pattern, Rule", "norma"
"Meaning Pea Plant", "nili"
"Meaning Peace", "noxolo"
"Meaning Plains", "navarro"
"Meaning Pleasant", "naomi"
"Meaning Powerful", "nero"
"Meaning Precious", "nafis"
"Meaning Princess", "nimeesha"
"Meaning Prosperous", "neema"
"Meaning Protector", "narain"
"Meaning Provence in France", "normandy"
"Meaning Pure", "nakia"
"Meaning Pure", "niesha"
"Meaning Rest, Peace", "noah"
"Meaning Sacrifice", "natara"
"Meaning Saint Worshipper", "nevina"
"Meaning Sea Nymph", "nerina"
"Meaning Sea Nymph", "nerine"
"Meaning Sea Nymph", "nerissa"
"Meaning Sea Snail", "nerita"
"Meaning Second Wife", "nyeki"
"Meaning Sign, Emblem", "nissa"
"Meaning Sign, Mark", "nishan"
"Meaning Slavic form of NICOLE", "nijole"
"Meaning Snake", "nyoka"
"Meaning Snow", "neva"
"Meaning Son of NEAL", "nelson"
"Meaning Son of Neil", "niles"
"Meaning Speech", "niv"
"Meaning Standing Tall", "nibaw"
"Meaning Stoat", "nessan"
"Meaning Sun", "nomlanga"
"Meaning Sunshine", "nayer"
"Meaning Surrounded by Song", "nasnan"
"Meaning Sweet, Friend", "noam"
"Meaning Swift Cat", "namir"
"Meaning The Flowers", "napua"
"Meaning The Goal", "nysa"
"Meaning The Ninth", "nona"
"Meaning Thunder", "nariko"
"Meaning To Be Born", "natalie"
"Meaning Triumphant", "nasser"
"Meaning Trustworthy", "netis"
"Meaning Unwilling", "noleta"
"Meaning Victor", "neely"
"Meaning Victorious Maiden", "nichelle"
"Meaning Victorious People", "nicholai"
"Meaning Victorious People", "nicholas"
"Meaning Victorious People", "nikita"
"Meaning Victorious People", "nikkos"
"Meaning Victory of the People", "nicole"
"Meaning Water Nymph", "naida"
"Meaning Water Nymph", "naiya"
"Meaning Water Sprite", "nixie"
"Meaning Wave", "nami"
"Meaning West", "nishi"
"Meaning White Haired", "nuala"
"Meaning Wild Goose", "neka"
"Meaning Windy Day", "nodin"
"Meaning Wisdom", "nestor"
"Meaning Wrestler", "nayati"
