"Meaning A Bear", "orson"
"Meaning A Hunter in Greek Mythology", "orion"
"Meaning A Tree", "oren"
"Meaning A Young Deer", "ofer"
"Meaning Ancestor", "ola"
"Meaning Ancestor", "olaf"
"Meaning Animal with Long Neck", "okapi"
"Meaning Arctic Hare", "okalik"
"Meaning Awake", "onawa"
"Meaning Bear Heart", "oberon"
"Meaning Bear of God", "osborn"
"Meaning Beginning", "ordell"
"Meaning Beside the Oak Trees", "oakes"
"Meaning Born on Holy Ground", "oni"
"Meaning Born when it was Raining", "okoth"
"Meaning Cedar Tree", "ornice"
"Meaning Chief", "ogima"
"Meaning Commander", "oma"
"Meaning Divine Ruler", "osric"
"Meaning Divine Strength", "oscar"
"Meaning Divine", "ossie"
"Meaning Egg Shaped", "ovid"
"Meaning Egg", "ova"
"Meaning Eighth", "octavious"
"Meaning Evergreen", "oliana"
"Meaning Fawn", "ossian"
"Meaning Field of Oak Trees", "oakley"
"Meaning First born son", "omar"
"Meaning Form of OSCAR", "oke"
"Meaning Form of UNA", "ownah"
"Meaning Form of YOLANDA", "olinda"
"Meaning Free Men", "orma"
"Meaning From the name EVAN", "owen"
"Meaning From the name OLIVER", "olive"
"Meaning From the name OLIVER", "olivia"
"Meaning From the name OLIVER", "ollie"
"Meaning From the name OPHIRA", "oprah"
"Meaning From the name ORIEL", "oriole"
"Meaning From the name ORLI", "orlee"
"Meaning From the name ORLI", "orly"
"Meaning From the name ORSON", "orsen"
"Meaning From the name ORSON", "orsin"
"Meaning From the name OSCAR", "oskar"
"Meaning From the name OTHELLO", "otto"
"Meaning From the name OZ", "ozzie"
"Meaning From the Opal Gemstone", "opal"
"Meaning From the Orient", "oria"
"Meaning Full of Grace", "ona"
"Meaning Full of Wrath", "odysseus"
"Meaning God is With Us", "oksana"
"Meaning God of the Forest", "oswald"
"Meaning God", "olisa"
"Meaning Godly Protector", "osmond"
"Meaning Gold", "ofira"
"Meaning Gold", "ophira"
"Meaning Gold", "oriel"
"Meaning Golden City", "orville"
"Meaning Golden One", "oriana"
"Meaning Golden Woman", "orla"
"Meaning Golden", "orleans"
"Meaning Goth of the Heavens", "osgood"
"Meaning Green", "oran"
"Meaning He Who Likes the Hunt", "oringo"
"Meaning Heaven", "okalani"
"Meaning Helper", "ophelia"
"Meaning Hill of the Passionate One", "onslow"
"Meaning Holly", "olin"
"Meaning Holy", "olga"
"Meaning I will praise God", "odelia"
"Meaning Land of Gold", "orlando"
"Meaning Large River", "ohio"
"Meaning Last", "omega"
"Meaning Light", "ora"
"Meaning Lives beside the Oaks", "ogden"
"Meaning Lord Is My Light", "oralee"
"Meaning Lovely", "olathe"
"Meaning Magic Power", "orenda"
"Meaning Melody", "odetta"
"Meaning Mountain Man", "orestes"
"Meaning Mountain of the Gods", "olympia"
"Meaning Mountain", "odina"
"Meaning Mountains", "orea"
"Meaning Ocean Centered", "oki"
"Meaning Ocean", "oceana"
"Meaning Ode, Melodic", "odette"
"Meaning Of the Sea", "ormanda"
"Meaning Olive Tree", "oliver"
"Meaning One Who Hears Well", "otis"
"Meaning One", "oona"
"Meaning Order", "orde"
"Meaning Otter", "obert"
"Meaning Otter", "odell"
"Meaning Owl", "opa"
"Meaning Pine Trees", "orinda"
"Meaning Praise", "osanna"
"Meaning Prosperous", "othello"
"Meaning Protective Hero", "osma"
"Meaning Protector of Humanity", "olesia"
"Meaning Rising", "orane"
"Meaning River", "orrin"
"Meaning Sacred", "oleg"
"Meaning Salvation", "osias"
"Meaning Serpent", "ormand"
"Meaning Soldier of God", "osborne"
"Meaning Spoken Word", "oral"
"Meaning Standing Rock", "oneida"
"Meaning Strength", "oz"
"Meaning Strong, Courageous", "ondrea"
"Meaning The Eighth", "octavia"
"Meaning The Eighth", "octavio"
"Meaning The Light is Mine", "orli"
"Meaning The Odyssey", "odessa"
"Meaning The Orient, East", "orien"
"Meaning The Upper Town", "overton"
"Meaning To Cross", "okal"
"Meaning To Obey", "obedience"
"Meaning Torch Light", "onella"
"Meaning Venerable Oak", "orrick"
"Meaning Venerable", "oistin"
"Meaning Wealthy One", "orton"
"Meaning Wealthy", "odele"
"Meaning Wealthy", "onan"
"Meaning Whom God Likes", "osaze"
"Meaning Your Descent Matters", "oafe"
