"Meaning A Basin", "pilar"
"Meaning A Broken Hill", "pembroke"
"Meaning A Dove", "paloma"
"Meaning A Form of Peter", "perry"
"Meaning A Gem of the Sea", "pearl"
"Meaning A Leaf", "phyllis"
"Meaning A Rock", "peers"
"Meaning A Rock", "peter"
"Meaning A Rock", "pierre"
"Meaning A Silent Worker", "penelope"
"Meaning Agreeable", "pleasance"
"Meaning Alligator", "polo"
"Meaning Ancient", "priscilla"
"Meaning Another One", "phindiwe"
"Meaning Beginner, Learning", "prentice"
"Meaning Bird", "palila"
"Meaning Borrowed", "pablo"
"Meaning Borrowed", "paul"
"Meaning Brave One", "prewitt"
"Meaning Bright, Shining One", "phoebe"
"Meaning Burning Bright", "phyre"
"Meaning Calm, Quiet", "placido"
"Meaning Cautious, Intelligent", "prudence"
"Meaning Corral", "penn"
"Meaning Cute Person", "pooky"
"Meaning Determined", "pepin"
"Meaning Door Guard", "porter"
"Meaning Enthroned", "panya"
"Meaning Fashion TearDrop Print", "paisley"
"Meaning Fem. form of PERRY", "peri"
"Meaning Fifth", "ponce"
"Meaning Fighter", "pallaton"
"Meaning First Born", "primo"
"Meaning First, Prince", "prince"
"Meaning Flower", "palesa"
"Meaning Flute Player", "piper"
"Meaning Form of PAUL", "paulos"
"Meaning Form of PETER", "patch"
"Meaning Form of PETER", "pierce"
"Meaning Form of PIERRE", "pier"
"Meaning Form of PRUDENCE", "prue"
"Meaning Free Man", "palani"
"Meaning From PAYTON", "peyton"
"Meaning From PERDITA", "perdy"
"Meaning From the Flower", "poppy"
"Meaning From the name BARTHOLOMEW", "parlan"
"Meaning From the name FELICIA", "phylicia"
"Meaning From the name MARGARET", "peggy"
"Meaning From the name PACKARD", "paco"
"Meaning From the name PAGE", "paige"
"Meaning From the name PAMELA", "palma"
"Meaning From the name PAMELA", "palmer"
"Meaning From the name PAMELA", "pamelia"
"Meaning From the name PATRICIA", "patsy"
"Meaning From the name PATRICIA", "patty"
"Meaning From the name PATRICK", "paddy"
"Meaning From the name PAUL", "paley"
"Meaning From the name PAUL", "paolo"
"Meaning From the name PAUL", "paula"
"Meaning From the name PAUL", "pauline"
"Meaning From the name PAULINE", "pabla"
"Meaning From the name PAULINE", "paulina"
"Meaning From the name PEARL", "pearlie"
"Meaning From the name PEARL", "pearly"
"Meaning From the name PERCIVAL", "percy"
"Meaning From the name PERRY", "perrin"
"Meaning From the name PETER", "pedro"
"Meaning From the name PETER", "pete"
"Meaning From the name PHILLIP", "phil"
"Meaning From the name PHILLIP", "philip"
"Meaning From the name PHYLLIS", "phyliss"
"Meaning From the name PIERRE", "pierrette"
"Meaning From the Pepper Plant", "pepper"
"Meaning From the Virtue", "patience"
"Meaning Fruitful", "poria"
"Meaning Full, Complete", "plennie"
"Meaning Fur Skin", "pelham"
"Meaning Gifted", "pandora"
"Meaning Glowing", "phaedra"
"Meaning God of Speech", "phemia"
"Meaning God of Stormy Weather", "pillan"
"Meaning Grandfather Emerald", "po"
"Meaning Ground Without Slope", "platt"
"Meaning Hair on Fire", "pirro"
"Meaning History", "pravat"
"Meaning Honey", "pamela"
"Meaning Horse Lover", "pilis"
"Meaning Impatient", "petula"
"Meaning Irish Saint", "phiala"
"Meaning Ivy", "papina"
"Meaning Keeper of the Park", "parker"
"Meaning King", "pasi"
"Meaning Little Plum", "prunella"
"Meaning Little", "pavel"
"Meaning Love", "phila"
"Meaning Loved by ALL", "panfila"
"Meaning Loved", "penda"
"Meaning Lover of Flowers", "philantha"
"Meaning Lover of Mankind", "philana"
"Meaning Lover of Mankind", "philena"
"Meaning Lover", "paris"
"Meaning Loving", "phillip"
"Meaning Loving", "philomena"
"Meaning Minister, Clergy", "parson"
"Meaning My Daughter", "paniga"
"Meaning My Escape, Deliverance", "palti"
"Meaning Neighborhood", "parrish"
"Meaning Nobleman", "patrick"
"Meaning Of Fire", "pyralis"
"Meaning Of Noble Descent", "patricia"
"Meaning Of the Petunia Flower", "petunia"
"Meaning Older Twin", "panyin"
"Meaning One Who Packs", "packard"
"Meaning Passover/Easter", "pascale"
"Meaning Peace or Gold", "paz"
"Meaning Peace", "peale"
"Meaning Pearl", "peigi"
"Meaning Pet form of Molly", "polly"
"Meaning Physician of the Gods", "peony"
"Meaning Piercing the Valley", "percival"
"Meaning Pious", "pia"
"Meaning Place of Rest", "paulo"
"Meaning Poetry", "piuta"
"Meaning Presence", "presencia"
"Meaning Progressive", "procopia"
"Meaning Sapphire", "phailin"
"Meaning Sea", "pelagia"
"Meaning She Who Is Lost", "perdita"
"Meaning Silent Worker (from Penelope)", "penney"
"Meaning Silent Worker (From Penelope)", "pennie"
"Meaning Silent Worker (From Penelope)", "penny"
"Meaning Small Flower", "posy"
"Meaning Small Rock", "piera"
"Meaning Small Rocks", "pebbles"
"Meaning Small", "paola"
"Meaning Small", "paulette"
"Meaning Son of HARRY", "parry"
"Meaning Stone", "pekelo"
"Meaning Stone", "pello"
"Meaning Stone", "petra"
"Meaning Stone", "petronella"
"Meaning Strong Shoulders", "plato"
"Meaning The Soul", "psyche"
"Meaning To Love Music", "philyra"
"Meaning To Pass Over", "pascha"
"Meaning To Speak", "parley"
"Meaning Town of Peace", "paxton"
"Meaning Tuft, Plume", "pancho"
"Meaning Understanding", "pallas"
"Meaning Village Warrior", "payton"
"Meaning Wanderer", "peregrine"
"Meaning Wealthy", "powa"
"Meaning Young Peter", "parkin"
"Meaning Youthful Assistant", "page"
