"Meaning A Companion, Friendship", "ruth"
"Meaning A Female Sheep, Ewe", "rachel"
"Meaning A Gypsy", "rumer"
"Meaning A Reed or Red Haired", "reed"
"Meaning A Ring", "ringo"
"Meaning A Rock", "rockne"
"Meaning A Ruby Jewel", "ruby"
"Meaning A Rune", "rune"
"Meaning A Small Stream", "reilly"
"Meaning A Small Stream", "riley"
"Meaning A Small Stream", "rylie"
"Meaning A Small, Tame Bird", "robin"
"Meaning A Stream", "ray"
"Meaning A Stream", "rhys"
"Meaning Advisor", "rad"
"Meaning Advisor", "rainer"
"Meaning Arranger", "ren"
"Meaning Behold - A Son", "reuben"
"Meaning Berry Plant", "rudra"
"Meaning Bitter Rose", "rosemary"
"Meaning Blackbrid", "raven"
"Meaning Bright Fame", "robert"
"Meaning Bright Fame", "rupert"
"Meaning Brook", "rea"
"Meaning Catherine", "rina"
"Meaning Compact Strength", "renny"
"Meaning Compassionate God", "raheem"
"Meaning Compassionate", "raimi"
"Meaning Cowboy", "rangle"
"Meaning Crystal", "ratana"
"Meaning Cure", "remedy"
"Meaning Dawn", "roxanne"
"Meaning Delight", "radwan"
"Meaning Dewdrops", "rocio"
"Meaning Dragon", "ryo"
"Meaning Enthusiastic", "reese"
"Meaning Ewe", "rachelle"
"Meaning Fair Haired", "rowena"
"Meaning Falsity", "rumor"
"Meaning Fame Rule", "roderick"
"Meaning Fame Spear", "roger"
"Meaning Famed Throughout the Land", "roland"
"Meaning Famed Throughout the Land", "rolando"
"Meaning Famous in the Land", "rollo"
"Meaning Famous Warrior", "ruggiero"
"Meaning Famous Wolf", "rudolph"
"Meaning Farmer", "rider"
"Meaning Fem. form of RAPHAEL", "raphaela"
"Meaning Fem. form of ROMAN", "romaine"
"Meaning Fem. form of ROSS", "rossa"
"Meaning Field of Birds", "raleigh"
"Meaning Field of Roses", "rhodes"
"Meaning Field of Roses", "roosevelt"
"Meaning Flower", "rehan"
"Meaning Forest Protector", "ranger"
"Meaning Form of REBECCA", "rimca"
"Meaning Form of RENEE", "ranae"
"Meaning Form of ROLAND", "revelin"
"Meaning Fox", "reynard"
"Meaning Frog", "rach"
"Meaning FROM JOHN", "rianne"
"Meaning From MARGARITA", "rita"
"Meaning From Reims", "remi"
"Meaning From Rheims", "remy"
"Meaning From RILEY", "rylee"
"Meaning From RONA and LEE", "ronalee"
"Meaning From the name RACHEL", "rachael"
"Meaning From the name RACHEL", "rae"
"Meaning From the name RACHEL", "raquel"
"Meaning From the name RALPH or RUDOLF", "rolf"
"Meaning From the name RALPH", "randall"
"Meaning From the name RALPH", "randolph"
"Meaning From the name RANDOLPH", "randy"
"Meaning From the name RAPHAEL", "rafael"
"Meaning From the name RAPHAEL", "raffaello"
"Meaning From the name RAPHAEL", "rafi"
"Meaning From the name RAYMOND", "ramon"
"Meaning From the name REBECCA", "reba"
"Meaning From the name REBECCA", "rebekah"
"Meaning From the name REED", "read"
"Meaning From the name REESE", "rhett"
"Meaning From the name REGINALD", "reynold"
"Meaning From the name REGINALD", "ronald"
"Meaning From the name RENEE", "rena"
"Meaning From the name RENEE", "renata"
"Meaning From the name RICHARD", "ricardo"
"Meaning From the name RICHARD", "rich"
"Meaning From the name RICHARD", "rick"
"Meaning From the name RICHARD", "rico"
"Meaning From the name ROBERT", "rob"
"Meaning From the name ROBIN", "robbin"
"Meaning From the name ROBIN", "robyn"
"Meaning From the name ROCKNE", "rock"
"Meaning From the name RODNEY", "rod"
"Meaning From the name RODNEY", "rodd"
"Meaning From the name RODNEY", "roddy"
"Meaning From the name RORY", "rori"
"Meaning From the name ROSALIND", "ros"
"Meaning From the name ROSALIND", "rosalyn"
"Meaning From the name ROSALIND", "roz"
"Meaning From the name ROSE and LINDA", "rosalind"
"Meaning From the name ROSE", "rosie"
"Meaning From the name RUDOLPH", "rudy"
"Meaning From the name RUSSELL", "russ"
"Meaning From the name VERONICA", "ronna"
"Meaning From the name VERONICA", "ronnie"
"Meaning From the name VERONICA", "ronny"
"Meaning From the Raven", "remington"
"Meaning From the Rocky Spring", "rockwell"
"Meaning From the Rye Land", "ryland"
"Meaning Glory", "roch"
"Meaning God Has Healed", "raphael"
"Meaning Godlike", "ram"
"Meaning Grand", "rhonda"
"Meaning Grand", "ronda"
"Meaning Head, Boss", "russom"
"Meaning Heavenly Rose", "roselani"
"Meaning Hope", "raja"
"Meaning Horseman", "ryder"
"Meaning Intelligent and Dependable", "ricjunette"
"Meaning Island", "rylan"
"Meaning Joy is Mine", "ronli"
"Meaning King", "reginald"
"Meaning King", "reth"
"Meaning King", "rex"
"Meaning King", "rey"
"Meaning King", "roy"
"Meaning Land Near the Water", "rodney"
"Meaning Laughter", "risa"
"Meaning Link Together", "rivka"
"Meaning Little King", "ryan"
"Meaning Little Rock", "rochelle"
"Meaning Little Rose", "rosine"
"Meaning Little Seal", "ronan"
"Meaning Lives near the Ridge", "rigg"
"Meaning Musical Instrument", "ruana"
"Meaning My Joy is the Lord", "ronia"
"Meaning No Longer Thirsty", "rayya"
"Meaning Of Rome", "roman"
"Meaning Of the Romans", "romeo"
"Meaning Of the Rose Blossom", "rose"
"Meaning Over the Red River", "redford"
"Meaning Park", "rin"
"Meaning Peaceful, Queen", "raina"
"Meaning Peaceful, Queen", "reina"
"Meaning Peaceful, Queen", "reyna"
"Meaning Pet form of ROCKNE", "rocco"
"Meaning Pet form of ROCKNE", "rocky"
"Meaning Police Officer", "rendor"
"Meaning Pomegranate", "rimona"
"Meaning Powerful, Rich Ruler", "richard"
"Meaning Protected Waterfall", "randilyn"
"Meaning Protector", "ramona"
"Meaning Queen", "raine"
"Meaning Queen", "rane"
"Meaning Queen", "ranee"
"Meaning Queen", "rania"
"Meaning Queen", "rasia"
"Meaning Queen", "regina"
"Meaning Queenlike", "riona"
"Meaning Rain", "rain"
"Meaning Reaper", "reza"
"Meaning Reborn", "renate"
"Meaning Reborn", "rene"
"Meaning Reborn", "renee"
"Meaning Red Head", "russell"
"Meaning Red Head", "rusti"
"Meaning Red Head", "rusty"
"Meaning Red Meadow", "radley"
"Meaning Red Meadow", "redell"
"Meaning Red Valley", "roden"
"Meaning Red-Haired", "rufina"
"Meaning Red", "roja"
"Meaning Redhead", "rufus"
"Meaning Redheaded One, or Dim. of REDMOND", "red"
"Meaning Righteous", "rashida"
"Meaning River", "rio"
"Meaning River", "river"
"Meaning Riverbank", "riva"
"Meaning Rivers", "rhea"
"Meaning Rose and Anne", "roseanne"
"Meaning Rose Garlands", "rosalia"
"Meaning Rose", "raisa"
"Meaning Rose", "roza"
"Meaning Roses", "rhoda"
"Meaning Rough Island", "rhona"
"Meaning Royal Poet", "riordan"
"Meaning Running Competition", "race"
"Meaning Sandalwood", "rohan"
"Meaning Satisfied", "reda"
"Meaning Sea", "rona"
"Meaning Seal", "ronat"
"Meaning Secret", "razi"
"Meaning Shining Light", "roshaun"
"Meaning Short for Laurence", "rance"
"Meaning Song", "ranit"
"Meaning Spirited", "rowdy"
"Meaning Spring", "rabia"
"Meaning Steward", "reeves"
"Meaning Stream", "reece"
"Meaning Sun Born", "ramses"
"Meaning Sun", "ravi"
"Meaning Supreme Judge", "ramiro"
"Meaning Sweet Basil, Virtuous", "rianna"
"Meaning The Ruddy One", "rory"
"Meaning To Flow", "runa"
"Meaning To Tie, To Bind", "rebecca"
"Meaning Tree with Red Berries, Mountain Ash", "rowan"
"Meaning Weak One", "rothrock"
"Meaning Wealthy", "rafer"
"Meaning Wealthy", "rafferty"
"Meaning White Rose", "rhoswen"
"Meaning White Rose", "rosalba"
"Meaning Wild Roses", "rosamunde"
"Meaning Winding River", "romney"
"Meaning Wise and Powerful", "raghnall"
"Meaning Wise Protection", "raymond"
"Meaning Wise", "raegan"
"Meaning Wise", "reagan"
"Meaning Wise", "regan"
"Meaning Witch-Nymph-Goddess", "rhiannon"
"Meaning Wolf Counselor", "ralph"
"Meaning Wolf Counselor", "raul"
"Meaning Woody Meadow", "ross"
"Meaning Young Gazelle", "rasha"
