"Meaning Angel of Light", "uriel"
"Meaning Cheerful", "ulani"
"Meaning Color of Earth", "umberto"
"Meaning Father, Lord", "uba"
"Meaning Female Bear", "ursala"
"Meaning Female Bear", "ursula"
"Meaning First Born of Twins", "ulan"
"Meaning Form of ODYSSEUS", "ulysses"
"Meaning Form of UNA", "uma"
"Meaning Form of URBAN", "urbain"
"Meaning Form of URSULA", "ursa"
"Meaning From the City", "urban"
"Meaning From the Mountains", "uta"
"Meaning From the Mountains", "ute"
"Meaning Glory", "ull"
"Meaning God is my Light", "uriah"
"Meaning God is my Light", "urilla"
"Meaning Great", "uang"
"Meaning Heavenly", "urania"
"Meaning Hope", "umay"
"Meaning Intelligence, Spirit", "ugo"
"Meaning Intelligent One", "ulema"
"Meaning Jewel of the Sea", "ula"
"Meaning Light", "urit"
"Meaning Love", "upendo"
"Meaning My Light", "uri"
"Meaning My Mother", "ummi"
"Meaning Oneness", "unity"
"Meaning Plum Blossom Child", "umeko"
"Meaning Servant", "umi"
"Meaning To Arrive", "uday"
"Meaning To Fill Up", "ulla"
"Meaning Unity", "una"
"Meaning Wolf", "ulf"
"Meaning Wolf", "ulric"
"Meaning Youth", "ujana"
