"Meaning A White Wave", "vevay"
"Meaning Alive", "vivi"
"Meaning Beautiful as a Rose", "vartouhi"
"Meaning Blessed", "venedict"
"Meaning Brave", "valiant"
"Meaning Bravery", "valencia"
"Meaning Butterfly", "vanessa"
"Meaning Cheerful", "vui"
"Meaning Chief", "vea"
"Meaning Conqueror, Victor", "vincent"
"Meaning Conqueror", "vittorio"
"Meaning Courage of a Bear", "vernados"
"Meaning Desire to Protect", "velma"
"Meaning Falling Star", "vega"
"Meaning From (the family of)", "von"
"Meaning From the family of...", "van"
"Meaning From the name VANESSA", "vanna"
"Meaning From the name VAUGHN", "vaughan"
"Meaning From the name VICTORIA", "vicki"
"Meaning From the name VICTORIA", "vicky"
"Meaning From the name VINCENT", "vince"
"Meaning From the name VINCENT", "vinnie"
"Meaning From the name VINCENT", "vinny"
"Meaning From the name VIOLET", "vi"
"Meaning From the name VIOLET", "viola"
"Meaning From WILLIAM", "vila"
"Meaning From Wine Country", "vienna"
"Meaning Girl", "vanida"
"Meaning Goddess of the Hearth", "vesta"
"Meaning Gracious in Life", "vivian"
"Meaning Gracious", "vanya"
"Meaning Great", "velika"
"Meaning Green", "verdi"
"Meaning Happy", "vidor"
"Meaning Health or Love", "valentina"
"Meaning Health or Love", "valentine"
"Meaning Health or Love", "valtina"
"Meaning High", "vance"
"Meaning Kingly", "vasilis"
"Meaning Life", "vida"
"Meaning Life", "vita"
"Meaning Life", "vitalis"
"Meaning Life", "vito"
"Meaning Life", "vivienne"
"Meaning Like an Angel", "vangie"
"Meaning Little Ash Tree", "vaschel"
"Meaning Longings are Waterfalls", "visola"
"Meaning Lost a Child", "vondila"
"Meaning Lovely", "viviana"
"Meaning Luckily", "veasna"
"Meaning National Spirit", "volleny"
"Meaning Power", "val"
"Meaning Power", "virote"
"Meaning Prince", "vlad"
"Meaning Prince", "vladimir"
"Meaning Ruler", "valdemar"
"Meaning Singled Out", "vala"
"Meaning Small Town", "vanig"
"Meaning Small Village", "villette"
"Meaning Small", "vaughn"
"Meaning Son of Vincent", "vinson"
"Meaning Strength, Valor", "valarie"
"Meaning Strength, Valor", "valeria"
"Meaning Strong", "vahe"
"Meaning Strong", "virgil"
"Meaning Superior", "varen"
"Meaning Sweet Lady", "vevina"
"Meaning The Love of a Woman", "vondra"
"Meaning The Truth", "veronica"
"Meaning They Leave Us Behind", "vatusia"
"Meaning To be strong", "valerie"
"Meaning To be strong", "vallerie"
"Meaning True Image", "vonda"
"Meaning Truth", "vera"
"Meaning Truth", "verda"
"Meaning Valley", "vail"
"Meaning Victorious", "vic"
"Meaning Victorious", "victoria"
"Meaning Vineyard Worker", "vine"
"Meaning Violet Flower", "violet"
"Meaning Virginal, Pure", "virginia"
"Meaning Vital", "vidal"
"Meaning Wanderer", "vandalin"
"Meaning Winner, Conqueror", "victor"
"Meaning Wisdom", "vivek"
"Meaning Woman of Venice", "venetia"
"Meaning Youthful", "vern"
"Meaning Youthful", "verna"
"Meaning Youthful", "verne"
"Meaning Youthful", "vernon"
