"Meaning A Driver", "wheeler"
"Meaning A Ruler", "waldo"
"Meaning A slender, young tree", "wanda"
"Meaning A Small Field", "whitley"
"Meaning A Stranger", "wallace"
"Meaning Brave", "willard"
"Meaning Chasing for Food", "winda"
"Meaning Contraction of WILLIAM", "willem"
"Meaning Desire to Protect", "wilhelmina"
"Meaning Desire to Protect", "william"
"Meaning Desire", "winta"
"Meaning Eagle", "washi"
"Meaning Fair One", "wendy"
"Meaning Faithful", "wafa"
"Meaning Farm by the Spring", "wilton"
"Meaning Farm with White Walls", "whitby"
"Meaning Fem. form of WILLIAM", "willa"
"Meaning First Born", "winona"
"Meaning Forest Walker", "walker"
"Meaning Friend of Peace (F)", "winifred"
"Meaning Friend of Peace (M)", "winfred"
"Meaning Friendly", "winthrop"
"Meaning From the Homeland", "wattan"
"Meaning From the name GILBERT", "wilbur"
"Meaning From the name WALTER", "walt"
"Meaning From the name WARREN", "warner"
"Meaning From the name WARREN", "werner"
"Meaning From the name WAYNE", "waggoner"
"Meaning From the name WENDY", "wenda"
"Meaning From the name WENDY", "wendi"
"Meaning From the name WESLEY", "wes"
"Meaning From the name WILFRED", "wilford"
"Meaning From the name WILLIAM", "will"
"Meaning From the name WINONA", "wynona"
"Meaning From the name WOODS", "woody"
"Meaning From the name WOODY", "wood"
"Meaning From the name WYNN", "wynne"
"Meaning From the Small Field", "whitfield"
"Meaning From the West Town", "weston"
"Meaning From the Willow Tree", "willow"
"Meaning Guardian", "ward"
"Meaning Hill of Victory", "winslow"
"Meaning Hunt", "wyanet"
"Meaning Light Complected", "wynn"
"Meaning Of the Willows", "wiley"
"Meaning Of the Woods", "woods"
"Meaning Path of a Wolf", "wolfgang"
"Meaning Peaceful or Willow Tree Near Ford", "wilfred"
"Meaning Plain", "wyome"
"Meaning Ruler", "walda"
"Meaning Shape-shifter", "waneta"
"Meaning Shield", "walta"
"Meaning Short for WILHEMINA", "wilma"
"Meaning Son of WILLIAM", "willis"
"Meaning Son of WILLIAM", "wilson"
"Meaning The Enemy", "wasaki"
"Meaning The Path thru the Woods", "woodrow"
"Meaning The West Meadow", "wesley"
"Meaning To Preserve", "warren"
"Meaning To Wade in Water", "wade"
"Meaning To Wave", "waverly"
"Meaning Town of the Smart", "washington"
"Meaning Untamed", "wilda"
"Meaning Valley or Wanderer", "wendell"
"Meaning Victory Town", "winston"
"Meaning Wagoner", "wayne"
"Meaning Warden, Guardian", "worden"
"Meaning Warrior", "wyman"
"Meaning Water", "wyatt"
"Meaning Weaver", "webster"
"Meaning Welcome Guest", "welcome"
"Meaning White Island", "whitney"
"Meaning Woods or Army General", "walter"
